attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4835282053282582,0.3291100872129031
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.71532807151038,100.19469050024892
0.0,0.0,1281967.0,95437.0,50057.0,8483.0,54894.0,17394.0,20924.708438159974,13961.401248485634
0.0,0.0,601308.0,130861.0,52680.0,11064.0,20608.0,11080.0,10195.86506211858,8232.558075422729
0.0,0.0,1626638.0,58759.0,21109.0,15274.0,3779.0,4613.0,2340.3076928955247,1815.981427167542
0.0,0.0,2623405.0,109120.0,92881.0,46918.0,20714.0,13067.0,7709.645954664959,4894.066556784266
0.0,0.0,2151763.0,48693.0,11370.0,47689.0,25374.0,19130.0,11894.58644295524,5140.135693713366
41.0,47.0,869530.0,167386.0,148536.0,27510.0,35965.0,17916.0,9316.036649681404,5787.864882567503
54.0,27.0,1765834.0,288122.0,76605.0,18417.0,21299.0,21195.0,9005.118297242947,6699.759624715952
47.0,17.0,922918.0,596457.0,168703.0,88038.0,26808.0,41102.0,13430.3926307083,6745.783790312833
38.0,1.0,73397.0,41498.0,2096.0,1652.0,1642.0,2077.0,1375.804794604226,919.5759798825248
60.0,1.0,151218.0,41924.0,6690.0,14428.0,8166.0,4857.0,3121.602361642064,1562.4720307533603
27.0,11.0,40961.0,55292.0,10969.0,5515.0,10800.0,2339.0,2454.3164924355333,1756.135024488075
50.0,10.0,123229.0,31173.0,2617.0,2990.0,4848.0,1983.0,1422.712716639691,1070.7303504121244
80.0,35.0,1122339.0,79015.0,32430.0,14577.0,11426.0,14900.0,5672.433751476577,3739.057740034503
80.0,41.0,171050.0,34761.0,18122.0,13876.0,12416.0,8740.0,4644.425110486973,4455.485000984555
91.0,35.0,219932.0,219518.0,15740.0,33246.0,31773.0,14257.0,10610.175233363056,5855.972901008992
100.0,47.0,705282.0,37939.0,6525.0,9649.0,9800.0,7963.0,4885.474835236833,2584.816254508887
100.0,37.0,335336.0,72885.0,13456.0,8873.0,4711.0,16858.0,4883.706333690866,2078.730958152507
70.0,43.0,75303.0,9296.0,8015.0,7454.0,6099.0,1402.0,1741.7994173607865,1267.2645821838375
60.0,56.0,2828216.0,398500.0,163287.0,25016.0,32629.0,16367.0,12702.654494325427,9196.614635441763
17.0,48.0,451938.0,132459.0,10713.0,15774.0,7239.0,3704.0,2514.608406805274,1654.2237809688372
10.0,57.0,1701138.0,76237.0,14476.0,32374.0,10894.0,16056.0,4841.550671199068,2901.162760395645
38.0,64.0,49870.0,14250.0,10463.0,24920.0,3789.0,8273.0,2389.724131660369,2026.4791613376408
66.0,61.0,1236512.0,248872.0,92441.0,27004.0,58255.0,33853.0,22930.887451818577,10391.69066368066
94.0,80.0,94550.0,10851.0,5792.0,3175.0,2436.0,1959.0,1307.5674758455257,844.8042839363156
88.0,57.0,206652.0,126464.0,2630.0,13523.0,16984.0,13270.0,6628.670729921405,5207.713610628681
60.0,30.0,179628.0,224372.0,44322.0,9060.0,16018.0,13146.0,8252.744898063134,6852.907843882731
50.0,27.0,14622.0,29958.0,9475.0,1628.0,2150.0,2309.0,1190.1545071884325,781.5866846402154
56.0,34.0,506791.0,25566.0,33024.0,21582.0,33622.0,11659.0,10730.031188322555,8976.489981375249
