attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,15.0,37.0,5.0,11.0,4.0,6.0,4.0,4.0
0.0,0.0,3673461.0,29230.0,4063.0,6384.0,13511.0,6664.0,1266.0,190.0
0.0,0.0,193.0,52.0,18.0,4.0,4.0,13.0,12.0,2.0
0.0,0.0,52155.0,18920.0,2634.0,3823.0,3614.0,8807.0,750.0,661.0
0.0,0.0,753604.0,14787.0,8390.0,81450.0,39577.0,49429.0,6184.0,3219.0
0.0,0.0,1793155.0,33766.0,34088.0,39912.0,43584.0,46173.0,11784.0,4359.0
0.0,0.0,375633.0,165226.0,16459.0,26630.0,34381.0,20026.0,7986.0,1971.0
0.0,0.0,1671930.0,135834.0,20585.0,42658.0,25645.0,19395.0,3129.0,1002.0
30.0,50.0,1010534.0,57025.0,25044.0,7809.0,4238.0,4391.0,4133.0,1015.0
21.0,61.0,265865.0,7913.0,3714.0,1812.0,2253.0,702.0,336.0,133.0
23.0,74.0,2293468.0,83188.0,41438.0,23642.0,13629.0,19240.0,7875.0,3620.0
17.0,83.0,2252617.0,259020.0,76382.0,69557.0,37713.0,30585.0,19492.0,5579.0
17.0,83.0,2070251.0,737442.0,227131.0,320848.0,166053.0,364879.0,111270.0,28249.0
14.0,67.0,1058963.0,171015.0,33330.0,14914.0,22368.0,8283.0,2915.0,1110.0
23.0,75.0,938121.0,89860.0,66241.0,33248.0,34276.0,21507.0,4540.0,2839.0
20.0,43.0,414806.0,134258.0,8696.0,10353.0,22066.0,13615.0,3859.0,1131.0
13.0,29.0,581914.0,332841.0,42543.0,44803.0,30440.0,14314.0,4328.0,2729.0
29.0,35.0,1139966.0,692209.0,79309.0,265747.0,180337.0,214651.0,95182.0,23188.0
17.0,1.0,1136688.0,1712134.0,74845.0,22207.0,85063.0,69835.0,16690.0,10238.0
29.0,14.0,80098.0,79071.0,9555.0,8423.0,9575.0,22997.0,9648.0,6918.0
44.0,23.0,216908.0,45057.0,7289.0,11354.0,31166.0,10482.0,2551.0,2635.0
29.0,16.0,396934.0,425220.0,38906.0,16280.0,22871.0,23280.0,34812.0,12428.0
41.0,51.0,1279896.0,301475.0,243022.0,69709.0,114202.0,85790.0,53158.0,11705.0
30.0,53.0,1091909.0,349115.0,41894.0,35706.0,41506.0,38079.0,13085.0,4255.0
24.0,67.0,601133.0,31729.0,15855.0,14132.0,10722.0,5236.0,3183.0,1035.0
41.0,84.0,1887431.0,62638.0,25792.0,11511.0,13229.0,25119.0,2703.0,1801.0
34.0,75.0,464859.0,117554.0,2271.0,37715.0,4961.0,9995.0,2215.0,507.0
43.0,69.0,745699.0,118958.0,10604.0,15239.0,29923.0,32642.0,11457.0,6385.0
67.0,56.0,939982.0,11722.0,1381.0,11401.0,17088.0,21353.0,1515.0,662.0
61.0,61.0,49112.0,10033.0,5010.0,2623.0,1432.0,2466.0,1677.0,229.0
69.0,69.0,310656.0,69282.0,26416.0,26579.0,22710.0,17145.0,5363.0,1093.0
66.0,77.0,2067421.0,369147.0,101767.0,12556.0,45362.0,65657.0,10090.0,4040.0
43.0,80.0,1499070.0,171342.0,41885.0,48211.0,55682.0,24380.0,7066.0,561.0
24.0,77.0,154956.0,9406.0,2944.0,2329.0,2679.0,339.0,255.0,293.0
16.0,63.0,1304123.0,186478.0,40461.0,6837.0,54883.0,15151.0,2910.0,6449.0
10.0,66.0,618946.0,639368.0,180947.0,43060.0,72072.0,68948.0,58005.0,14412.0
20.0,70.0,450362.0,47472.0,14975.0,29377.0,22498.0,20602.0,2898.0,1014.0
51.0,66.0,140468.0,46922.0,6928.0,25358.0,22937.0,41006.0,13450.0,8834.0
51.0,66.0,375997.0,15224.0,4716.0,1606.0,2154.0,1097.0,526.0,524.0
57.0,66.0,495912.0,178732.0,18772.0,34149.0,80066.0,32401.0,11004.0,4539.0
80.0,64.0,34128.0,10620.0,1742.0,8141.0,13415.0,13918.0,3367.0,684.0
