attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
10.0,100.0,192593.0,68727.0,71331.0,67694.0,22163.0,25740.0,9050.0,4894.0
24.0,93.0,140503.0,82980.0,28896.0,21423.0,15759.0,23939.0,8868.0,5428.0
24.0,90.0,62295.0,10074.0,2219.0,2339.0,2239.0,3050.0,1123.0,125.0
38.0,69.0,34384.0,24277.0,3639.0,4299.0,6002.0,10916.0,1278.0,567.0
27.0,38.0,359282.0,310352.0,26201.0,12260.0,32871.0,16837.0,3467.0,1596.0
4.0,43.0,411502.0,164529.0,55504.0,14734.0,31628.0,27986.0,10443.0,6518.0
1.0,48.0,415003.0,221365.0,26642.0,44126.0,12878.0,60204.0,32196.0,3825.0
11.0,51.0,772005.0,296888.0,33086.0,26261.0,70604.0,50826.0,10247.0,12909.0
30.0,43.0,508618.0,155694.0,26492.0,59633.0,38924.0,51775.0,15397.0,6792.0
44.0,35.0,513593.0,48176.0,18353.0,10661.0,13658.0,44093.0,6085.0,1699.0
44.0,37.0,288275.0,434719.0,10564.0,90281.0,42994.0,84544.0,34350.0,2957.0
40.0,40.0,85310.0,119879.0,28049.0,30910.0,9151.0,25339.0,6888.0,2277.0
51.0,41.0,264572.0,58883.0,2383.0,12051.0,11060.0,21382.0,6915.0,2417.0
53.0,48.0,23705.0,20829.0,15196.0,7149.0,6128.0,34665.0,4877.0,2402.0
53.0,35.0,736753.0,202103.0,17171.0,30447.0,79815.0,35792.0,11376.0,2185.0
47.0,47.0,918749.0,125738.0,37334.0,29117.0,20487.0,34694.0,23390.0,4640.0
44.0,51.0,190017.0,73756.0,29944.0,4905.0,26455.0,31216.0,12213.0,12574.0
34.0,63.0,647943.0,88278.0,36019.0,1785.0,5816.0,7402.0,2601.0,1773.0
50.0,66.0,357405.0,17289.0,15719.0,29142.0,21501.0,47902.0,24985.0,4954.0
56.0,60.0,28302.0,16682.0,2565.0,5964.0,2728.0,11314.0,1151.0,464.0
64.0,74.0,1152558.0,68615.0,39377.0,39795.0,43236.0,31848.0,8081.0,1410.0
44.0,63.0,296814.0,116230.0,11668.0,28628.0,11364.0,23888.0,9604.0,6321.0
27.0,48.0,109360.0,54549.0,2240.0,3877.0,1533.0,7330.0,2854.0,1823.0
38.0,47.0,114744.0,63998.0,28583.0,10040.0,8962.0,32586.0,6340.0,4354.0
40.0,41.0,200594.0,34333.0,4422.0,6430.0,8172.0,11350.0,3492.0,3154.0
40.0,53.0,583018.0,85529.0,12543.0,10994.0,8042.0,14251.0,10095.0,2226.0
