attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
0.0,0.0,8.0,4.0,2.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
0.0,0.0,102227.0,129739.0,19171.0,3248.0,5167.0,10990.0
0.0,0.0,1095003.0,221086.0,105757.0,348303.0,184593.0,27813.0
0.0,0.0,617911.0,393214.0,32324.0,67251.0,20811.0,19786.0
0.0,0.0,584548.0,37401.0,7788.0,6181.0,5823.0,2752.0
51.0,48.0,60080.0,10383.0,14839.0,18622.0,21660.0,17813.0
64.0,41.0,94751.0,50336.0,17219.0,9758.0,31156.0,30391.0
70.0,41.0,111950.0,10444.0,6440.0,3844.0,9519.0,5114.0
80.0,34.0,909019.0,69697.0,8995.0,19275.0,34215.0,24185.0
61.0,4.0,1350342.0,495969.0,37303.0,3690.0,38708.0,30195.0
56.0,23.0,230300.0,70949.0,70477.0,37036.0,40686.0,32463.0
51.0,37.0,108139.0,15315.0,28481.0,9365.0,14222.0,7438.0
40.0,41.0,103665.0,282058.0,21868.0,44318.0,20478.0,22503.0
57.0,56.0,74776.0,24644.0,10407.0,6719.0,20623.0,20395.0
64.0,63.0,14642.0,14414.0,26769.0,42655.0,7644.0,35268.0
53.0,48.0,72296.0,136608.0,11419.0,37261.0,17800.0,6955.0
60.0,50.0,85511.0,111765.0,29927.0,5315.0,10574.0,18201.0
51.0,67.0,575358.0,22044.0,32809.0,24461.0,14421.0,14134.0
53.0,51.0,138120.0,18860.0,13031.0,9982.0,23402.0,21140.0
67.0,61.0,140523.0,10320.0,5850.0,6561.0,4234.0,4773.0
61.0,47.0,80584.0,121202.0,894.0,7321.0,10231.0,8092.0
57.0,26.0,779167.0,61220.0,8653.0,6821.0,15799.0,9422.0
57.0,17.0,67289.0,65219.0,4059.0,15304.0,10365.0,38870.0
38.0,1.0,326951.0,199932.0,5766.0,11893.0,5572.0,5052.0
47.0,4.0,434341.0,35268.0,837.0,5387.0,9083.0,6162.0
38.0,11.0,1943395.0,141517.0,38678.0,21356.0,12842.0,9659.0
17.0,10.0,1435915.0,392137.0,36710.0,26892.0,32129.0,18978.0
30.0,29.0,20401.0,18366.0,6293.0,6154.0,3514.0,3766.0
26.0,47.0,438871.0,77705.0,17226.0,28496.0,8133.0,9783.0
35.0,51.0,481471.0,25680.0,16294.0,10966.0,19108.0,7096.0
30.0,56.0,983981.0,201204.0,34587.0,14123.0,10789.0,7692.0
34.0,40.0,78829.0,42225.0,6691.0,2538.0,22605.0,6848.0
41.0,30.0,129592.0,98061.0,25944.0,9102.0,14460.0,26232.0
