attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
0.0,0.0,87282.0,34439.0,11815.0,7800.0,4554.0,2574.0
0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0
0.0,0.0,135540.0,44576.0,25818.0,19829.0,12089.0,4234.0
0.0,0.0,8757.0,2593.0,434.0,292.0,127.0,377.0
0.0,0.0,837.0,750.0,204.0,391.0,315.0,449.0
0.0,0.0,26978.0,16266.0,9532.0,2061.0,2840.0,1654.0
48.0,51.0,2209.0,5422.0,4800.0,8805.0,2639.0,4590.0
47.0,57.0,53608.0,56628.0,37827.0,10973.0,5653.0,10288.0
56.0,57.0,555157.0,53237.0,32919.0,7227.0,16560.0,22082.0
54.0,44.0,88238.0,18721.0,2495.0,1037.0,2840.0,2091.0
38.0,13.0,266498.0,63873.0,5818.0,1282.0,3845.0,4062.0
24.0,4.0,1197126.0,194020.0,57888.0,12258.0,14477.0,10141.0
21.0,10.0,463087.0,71787.0,9687.0,49404.0,5099.0,23312.0
17.0,26.0,45658.0,21011.0,3310.0,9907.0,4219.0,3049.0
48.0,40.0,7656.0,18171.0,2077.0,9236.0,6525.0,18792.0
63.0,34.0,112098.0,20116.0,2929.0,1457.0,1883.0,2950.0
66.0,34.0,58764.0,15285.0,12415.0,13745.0,16281.0,9338.0
84.0,38.0,17003.0,16389.0,19362.0,5415.0,9133.0,14597.0
67.0,50.0,63287.0,6119.0,3690.0,4568.0,5274.0,2366.0
84.0,54.0,196132.0,8380.0,1468.0,4243.0,6815.0,7469.0
74.0,48.0,38373.0,35859.0,10037.0,9833.0,6201.0,4648.0
51.0,44.0,131829.0,66590.0,31221.0,4990.0,9805.0,5518.0
57.0,37.0,248696.0,37523.0,10321.0,14004.0,4321.0,19887.0
44.0,34.0,1089355.0,79957.0,10340.0,10088.0,6020.0,18325.0
60.0,17.0,55860.0,39857.0,4825.0,4147.0,4947.0,15148.0
75.0,26.0,229501.0,5707.0,6844.0,1131.0,1848.0,2343.0
66.0,20.0,157514.0,114427.0,14682.0,17501.0,11120.0,20821.0
78.0,21.0,225646.0,4264.0,950.0,1154.0,3631.0,2875.0
78.0,27.0,14514.0,32090.0,8341.0,14121.0,36961.0,20013.0
64.0,13.0,68354.0,26163.0,4108.0,4024.0,3508.0,1809.0
64.0,13.0,169769.0,50151.0,8474.0,10818.0,12246.0,12137.0
54.0,30.0,59259.0,42778.0,42039.0,15719.0,18037.0,20430.0
44.0,41.0,1201127.0,74187.0,51237.0,34115.0,54516.0,23714.0
51.0,53.0,107727.0,10583.0,5998.0,2492.0,2294.0,1740.0
40.0,47.0,1226514.0,1007367.0,136534.0,33489.0,67281.0,78863.0
40.0,54.0,36310.0,30493.0,50022.0,18017.0,2586.0,16781.0
29.0,69.0,738667.0,7592.0,15060.0,7519.0,3674.0,1926.0
30.0,74.0,39481.0,6238.0,5448.0,1309.0,2015.0,1318.0
23.0,84.0,1958599.0,423084.0,76831.0,81350.0,17510.0,17684.0
14.0,64.0,1579757.0,224865.0,60556.0,39727.0,26244.0,28283.0
7.0,48.0,1861249.0,726145.0,222227.0,239892.0,191468.0,41720.0
1.0,43.0,197171.0,28192.0,11971.0,5122.0,9255.0,3350.0
10.0,51.0,1093406.0,41312.0,19569.0,12681.0,3264.0,4146.0
10.0,40.0,112005.0,104604.0,9287.0,10473.0,11643.0,11415.0
37.0,35.0,1295923.0,54366.0,25957.0,14359.0,33686.0,29903.0
44.0,35.0,325910.0,25867.0,12536.0,3749.0,4205.0,5735.0
51.0,30.0,36901.0,81665.0,15054.0,46334.0,6732.0,15280.0
53.0,34.0,51872.0,31164.0,1644.0,4970.0,4693.0,4008.0
44.0,37.0,117071.0,87299.0,9394.0,40229.0,15549.0,23843.0
41.0,56.0,22207.0,7313.0,17018.0,33561.0,6562.0,6503.0
40.0,48.0,58631.0,70797.0,5441.0,23593.0,12663.0,8647.0
44.0,60.0,748194.0,41590.0,13687.0,21281.0,19747.0,13354.0
53.0,63.0,28155.0,17050.0,11166.0,12288.0,12830.0,11940.0
60.0,37.0,600591.0,35925.0,10275.0,15168.0,27724.0,11802.0
77.0,21.0,4192.0,49743.0,3683.0,1584.0,8914.0,18218.0
67.0,20.0,28929.0,34724.0,10037.0,4698.0,12407.0,4775.0
69.0,16.0,32586.0,24121.0,11543.0,10654.0,21351.0,15157.0
87.0,11.0,5613.0,9372.0,3033.0,3396.0,11552.0,13815.0
96.0,23.0,7937.0,10731.0,4155.0,3200.0,5991.0,28081.0
91.0,23.0,259226.0,71370.0,11295.0,15801.0,10710.0,6750.0
74.0,34.0,106462.0,95532.0,51906.0,52617.0,6325.0,17539.0
57.0,38.0,8160.0,21232.0,6732.0,4775.0,12162.0,11705.0
35.0,43.0,432932.0,46365.0,7970.0,10691.0,14155.0,10576.0
27.0,37.0,1295545.0,248896.0,21812.0,35365.0,20338.0,11679.0
14.0,23.0,856316.0,449480.0,103383.0,18972.0,18874.0,9990.0
1.0,17.0,716500.0,421985.0,57030.0,17623.0,35828.0,6450.0
1.0,29.0,64145.0,30967.0,8094.0,20667.0,1958.0,953.0
1.0,29.0,1013667.0,232562.0,31903.0,19945.0,20924.0,12212.0
1.0,53.0,281056.0,27000.0,54973.0,9694.0,2445.0,4739.0
10.0,54.0,717230.0,48236.0,7858.0,7060.0,10796.0,7340.0
14.0,40.0,1145170.0,111496.0,17190.0,12992.0,8313.0,3806.0
10.0,41.0,207736.0,183562.0,21396.0,17377.0,8135.0,5369.0
10.0,29.0,718692.0,79720.0,31351.0,33668.0,13698.0,7504.0
1.0,40.0,211954.0,25143.0,7330.0,7259.0,3875.0,995.0
1.0,24.0,404777.0,397279.0,9097.0,9501.0,2480.0,6986.0
1.0,38.0,854254.0,150478.0,62449.0,16442.0,3841.0,5918.0
1.0,40.0,291238.0,104507.0,68914.0,25745.0,14567.0,6559.0
1.0,24.0,781129.0,274854.0,14807.0,15125.0,22700.0,9884.0
8.0,48.0,252028.0,91647.0,15580.0,35852.0,8207.0,15990.0
7.0,41.0,605406.0,834478.0,227423.0,9895.0,36072.0,28336.0
13.0,35.0,123835.0,30175.0,7198.0,6777.0,1394.0,2740.0
14.0,47.0,1799744.0,646361.0,126296.0,58911.0,34171.0,35763.0
14.0,38.0,114680.0,31996.0,5683.0,1084.0,779.0,4085.0
38.0,38.0,242790.0,82274.0,14190.0,37576.0,39476.0,53174.0
54.0,38.0,1854331.0,70838.0,30688.0,22127.0,10644.0,55200.0
63.0,40.0,634394.0,99470.0,33900.0,22414.0,39970.0,19389.0
87.0,40.0,42504.0,6230.0,4570.0,2007.0,11164.0,19288.0
80.0,38.0,104623.0,34045.0,7480.0,3947.0,7246.0,7239.0
69.0,35.0,134305.0,28784.0,2855.0,8101.0,7502.0,5188.0
80.0,26.0,33947.0,19071.0,4189.0,1927.0,8725.0,8392.0
60.0,43.0,491980.0,25250.0,25696.0,7393.0,3740.0,10787.0
63.0,27.0,74116.0,31418.0,1642.0,1156.0,5149.0,7674.0
57.0,35.0,779256.0,124970.0,62327.0,26045.0,25396.0,19836.0
30.0,29.0,204994.0,118856.0,3638.0,7327.0,2213.0,1809.0
16.0,7.0,1817348.0,1226319.0,106405.0,18275.0,20390.0,43075.0
3.0,16.0,687147.0,447780.0,58266.0,16256.0,31071.0,20984.0
1.0,3.0,586715.0,105574.0,8361.0,8534.0,17713.0,4380.0
21.0,24.0,224776.0,16075.0,31587.0,17672.0,33455.0,21619.0
27.0,41.0,1436666.0,97877.0,43577.0,19020.0,8728.0,9274.0
35.0,37.0,38032.0,30690.0,2741.0,420.0,1169.0,3621.0
67.0,47.0,35422.0,2226.0,9423.0,3672.0,8041.0,22957.0
48.0,29.0,143528.0,130331.0,15525.0,5141.0,8909.0,5390.0
48.0,20.0,822406.0,91161.0,11320.0,14891.0,22199.0,7590.0
43.0,30.0,1676474.0,115378.0,28089.0,14875.0,30691.0,10196.0
21.0,27.0,33744.0,30537.0,7392.0,3647.0,7998.0,4706.0
38.0,38.0,495423.0,36157.0,8559.0,11926.0,6577.0,12747.0
50.0,44.0,111219.0,54893.0,16175.0,36751.0,36477.0,27706.0
51.0,54.0,335966.0,179031.0,40653.0,108432.0,20138.0,27954.0
54.0,61.0,498442.0,149112.0,41251.0,51648.0,20565.0,37109.0
