attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1281967.0,95437.0,50057.0,8483.0,54894.0,17394.0
0.0,0.0,601308.0,130861.0,52680.0,11064.0,20608.0,11080.0
0.0,0.0,1626638.0,58759.0,21109.0,15274.0,3779.0,4613.0
0.0,0.0,2623405.0,109120.0,92881.0,46918.0,20714.0,13067.0
0.0,0.0,2151763.0,48693.0,11370.0,47689.0,25374.0,19130.0
41.0,47.0,869530.0,167386.0,148536.0,27510.0,35965.0,17916.0
54.0,27.0,1765834.0,288122.0,76605.0,18417.0,21299.0,21195.0
47.0,17.0,922918.0,596457.0,168703.0,88038.0,26808.0,41102.0
38.0,1.0,73397.0,41498.0,2096.0,1652.0,1642.0,2077.0
60.0,1.0,151218.0,41924.0,6690.0,14428.0,8166.0,4857.0
27.0,11.0,40961.0,55292.0,10969.0,5515.0,10800.0,2339.0
50.0,10.0,123229.0,31173.0,2617.0,2990.0,4848.0,1983.0
80.0,35.0,1122339.0,79015.0,32430.0,14577.0,11426.0,14900.0
80.0,41.0,171050.0,34761.0,18122.0,13876.0,12416.0,8740.0
91.0,35.0,219932.0,219518.0,15740.0,33246.0,31773.0,14257.0
100.0,47.0,705282.0,37939.0,6525.0,9649.0,9800.0,7963.0
100.0,37.0,335336.0,72885.0,13456.0,8873.0,4711.0,16858.0
70.0,43.0,75303.0,9296.0,8015.0,7454.0,6099.0,1402.0
60.0,56.0,2828216.0,398500.0,163287.0,25016.0,32629.0,16367.0
17.0,48.0,451938.0,132459.0,10713.0,15774.0,7239.0,3704.0
10.0,57.0,1701138.0,76237.0,14476.0,32374.0,10894.0,16056.0
38.0,64.0,49870.0,14250.0,10463.0,24920.0,3789.0,8273.0
66.0,61.0,1236512.0,248872.0,92441.0,27004.0,58255.0,33853.0
94.0,80.0,94550.0,10851.0,5792.0,3175.0,2436.0,1959.0
88.0,57.0,206652.0,126464.0,2630.0,13523.0,16984.0,13270.0
60.0,30.0,179628.0,224372.0,44322.0,9060.0,16018.0,13146.0
50.0,27.0,14622.0,29958.0,9475.0,1628.0,2150.0,2309.0
56.0,34.0,506791.0,25566.0,33024.0,21582.0,33622.0,11659.0
66.0,43.0,2463217.0,129635.0,16164.0,22761.0,18065.0,24118.0
94.0,43.0,26527.0,8996.0,2377.0,1337.0,6744.0,3034.0
100.0,43.0,217576.0,126525.0,27066.0,19298.0,19223.0,12629.0
63.0,11.0,1009673.0,490995.0,42850.0,6102.0,14509.0,7342.0
66.0,27.0,10667.0,23723.0,14912.0,33524.0,27591.0,11701.0
47.0,37.0,129531.0,8924.0,644.0,3018.0,1427.0,744.0
60.0,26.0,55095.0,9134.0,391.0,1457.0,2323.0,1414.0
87.0,61.0,34833.0,19372.0,22101.0,6198.0,4884.0,3580.0
81.0,66.0,77973.0,5450.0,2526.0,4887.0,677.0,1519.0
100.0,60.0,61919.0,29852.0,2480.0,5789.0,1067.0,8313.0
94.0,81.0,36159.0,40851.0,40127.0,3799.0,12370.0,7198.0
100.0,66.0,30349.0,26006.0,7574.0,6590.0,7478.0,5434.0
83.0,53.0,57291.0,9225.0,3345.0,486.0,1115.0,398.0
83.0,61.0,17858.0,13934.0,7470.0,2439.0,5648.0,4877.0
66.0,34.0,144831.0,304182.0,12933.0,19221.0,14617.0,9129.0
56.0,13.0,141633.0,36211.0,1985.0,1849.0,4231.0,2999.0
74.0,8.0,274515.0,111914.0,2955.0,35112.0,22239.0,14878.0
48.0,7.0,35166.0,28787.0,4649.0,9019.0,2887.0,1725.0
80.0,35.0,110678.0,6262.0,7068.0,2782.0,2258.0,5458.0
67.0,54.0,453708.0,25120.0,1942.0,9082.0,2356.0,1476.0
61.0,80.0,1443513.0,26761.0,59302.0,13639.0,16051.0,7036.0
66.0,80.0,569097.0,111743.0,31524.0,21879.0,15236.0,11996.0
47.0,67.0,461255.0,59777.0,11046.0,14035.0,15654.0,6064.0
38.0,80.0,248059.0,29884.0,20204.0,8842.0,4125.0,1396.0
41.0,51.0,92136.0,33389.0,6448.0,1077.0,4010.0,3525.0
44.0,47.0,45565.0,62516.0,6308.0,15716.0,13929.0,7264.0
23.0,26.0,1331119.0,1123744.0,23233.0,37092.0,20842.0,8075.0
27.0,8.0,537505.0,162645.0,4483.0,24294.0,22281.0,3460.0
37.0,21.0,422956.0,43086.0,17232.0,7565.0,8849.0,10487.0
27.0,30.0,249190.0,135347.0,64703.0,15446.0,26003.0,7398.0
44.0,38.0,914859.0,363291.0,18213.0,13977.0,16000.0,12623.0
53.0,40.0,79401.0,17542.0,1831.0,1892.0,2157.0,866.0
50.0,27.0,105365.0,34238.0,345.0,5871.0,2233.0,3633.0
74.0,27.0,15560.0,10893.0,4283.0,4679.0,5003.0,5959.0
83.0,44.0,95392.0,72300.0,3397.0,25930.0,6238.0,7414.0
94.0,56.0,700016.0,108072.0,23729.0,49173.0,16029.0,24240.0
96.0,74.0,155551.0,27464.0,15473.0,7710.0,8077.0,5569.0
77.0,63.0,340357.0,24571.0,3041.0,2776.0,2555.0,1557.0
83.0,63.0,22933.0,45053.0,12048.0,12800.0,18206.0,9921.0
69.0,54.0,598042.0,57376.0,13742.0,3055.0,5831.0,2938.0
64.0,66.0,246117.0,13653.0,56135.0,51288.0,10881.0,8109.0
66.0,67.0,707561.0,95648.0,7384.0,26561.0,14265.0,7392.0
60.0,66.0,14681.0,45043.0,20264.0,11924.0,14082.0,6650.0
67.0,66.0,75106.0,40419.0,16432.0,5833.0,6165.0,5045.0
64.0,43.0,531256.0,73972.0,13149.0,15228.0,5461.0,5294.0
63.0,40.0,181807.0,45691.0,4279.0,7943.0,8648.0,2684.0
53.0,26.0,388188.0,509824.0,56116.0,17291.0,48836.0,19110.0
60.0,21.0,1098945.0,216857.0,53102.0,29421.0,62068.0,38747.0
57.0,26.0,87834.0,16309.0,6805.0,4762.0,5022.0,1293.0
47.0,27.0,145638.0,77068.0,12713.0,5779.0,2780.0,1324.0
53.0,34.0,635192.0,156536.0,27272.0,5940.0,13955.0,12168.0
56.0,37.0,62981.0,5694.0,2973.0,3369.0,8497.0,2014.0
77.0,20.0,61626.0,34966.0,1640.0,4840.0,9528.0,16228.0
94.0,17.0,1779875.0,133016.0,10321.0,20387.0,10362.0,14285.0
91.0,30.0,394329.0,68718.0,37253.0,43989.0,31618.0,7552.0
84.0,34.0,43190.0,25145.0,16389.0,3832.0,6868.0,5044.0
69.0,41.0,62201.0,10274.0,1636.0,1356.0,1741.0,1100.0
74.0,47.0,145842.0,7669.0,2239.0,2744.0,7036.0,1589.0
77.0,43.0,257628.0,78187.0,37100.0,12731.0,3143.0,9783.0
69.0,29.0,38722.0,105046.0,3977.0,10361.0,3743.0,6021.0
81.0,38.0,36387.0,21745.0,4169.0,20587.0,8358.0,12643.0
74.0,40.0,390415.0,156008.0,17765.0,52236.0,46845.0,12785.0
70.0,29.0,601493.0,206384.0,7478.0,42207.0,18880.0,15986.0
61.0,38.0,41665.0,141247.0,32895.0,10061.0,15962.0,3397.0
53.0,38.0,38095.0,16062.0,4870.0,14006.0,10020.0,4299.0
56.0,29.0,135123.0,214107.0,12766.0,22368.0,23885.0,21380.0
66.0,34.0,52542.0,107632.0,31132.0,14287.0,42307.0,25168.0
91.0,37.0,427800.0,7509.0,3489.0,666.0,2043.0,2318.0
88.0,35.0,87005.0,12925.0,5802.0,4630.0,1768.0,1820.0
84.0,51.0,74627.0,15256.0,9084.0,4619.0,2555.0,1863.0
60.0,51.0,252207.0,320335.0,74276.0,18136.0,29584.0,5781.0
44.0,63.0,149077.0,9378.0,5833.0,9109.0,2118.0,1143.0
54.0,50.0,448635.0,46657.0,2920.0,7585.0,11059.0,12416.0
60.0,47.0,155990.0,84280.0,40956.0,31755.0,36901.0,15598.0
83.0,54.0,1811230.0,52297.0,37114.0,13410.0,9697.0,12562.0
84.0,48.0,41108.0,56730.0,10315.0,31356.0,6592.0,6093.0
63.0,50.0,135611.0,164695.0,30198.0,8915.0,35572.0,6314.0
44.0,43.0,520551.0,303476.0,37901.0,38302.0,31258.0,6434.0
35.0,37.0,85357.0,31659.0,6388.0,7433.0,2455.0,2282.0
27.0,26.0,390745.0,122609.0,14352.0,14679.0,4234.0,4710.0
24.0,37.0,59762.0,38162.0,8122.0,16361.0,7971.0,1285.0
40.0,38.0,140548.0,43906.0,8486.0,8689.0,9790.0,4245.0
40.0,34.0,17097.0,83974.0,11807.0,9458.0,14904.0,5102.0
43.0,29.0,90745.0,12870.0,673.0,2375.0,3152.0,759.0
41.0,24.0,514094.0,409464.0,56145.0,59441.0,32148.0,10051.0
41.0,27.0,281889.0,87086.0,22182.0,25730.0,16301.0,10310.0
57.0,37.0,29643.0,19457.0,12418.0,6044.0,9469.0,9636.0
61.0,41.0,92836.0,148662.0,23745.0,23838.0,15404.0,10271.0
66.0,41.0,177135.0,63543.0,11776.0,5931.0,4574.0,2204.0
70.0,43.0,15153.0,20587.0,12257.0,6555.0,10852.0,4624.0
63.0,27.0,10718.0,26497.0,2305.0,2079.0,9013.0,3770.0
51.0,24.0,120649.0,37488.0,4026.0,5315.0,7599.0,4164.0
57.0,35.0,1427489.0,191378.0,45461.0,33035.0,18944.0,16414.0
60.0,26.0,116918.0,98301.0,12456.0,21639.0,18301.0,8768.0
60.0,43.0,511681.0,66428.0,71537.0,30298.0,15032.0,10592.0
75.0,51.0,8967.0,14229.0,6753.0,5138.0,3493.0,10118.0
91.0,48.0,115461.0,20121.0,1408.0,2174.0,4847.0,2225.0
100.0,30.0,60244.0,42975.0,10117.0,9731.0,29792.0,16852.0
100.0,26.0,65372.0,23117.0,7292.0,5124.0,12933.0,19485.0
94.0,26.0,46104.0,12379.0,5284.0,2451.0,1508.0,1271.0
100.0,40.0,533132.0,20689.0,4996.0,14306.0,14767.0,13688.0
70.0,34.0,65582.0,45521.0,751.0,16129.0,16272.0,11140.0
70.0,23.0,222981.0,52226.0,2121.0,12449.0,9897.0,4449.0
48.0,20.0,1713201.0,98787.0,17302.0,26153.0,19661.0,4721.0
47.0,30.0,1444006.0,127024.0,17652.0,30371.0,14050.0,6359.0
44.0,27.0,1830509.0,143353.0,23001.0,21876.0,70318.0,26263.0
63.0,26.0,58739.0,33121.0,11143.0,11316.0,13714.0,8932.0
69.0,37.0,84960.0,7649.0,8891.0,4809.0,5050.0,1467.0
75.0,43.0,68971.0,24371.0,8193.0,11780.0,20613.0,10265.0
87.0,56.0,51804.0,20983.0,5584.0,23866.0,21569.0,12081.0
70.0,53.0,472617.0,227747.0,25516.0,40902.0,21783.0,11679.0
66.0,34.0,27040.0,47431.0,11725.0,8196.0,12429.0,10070.0
66.0,30.0,46753.0,23630.0,5305.0,15505.0,8380.0,9922.0
80.0,35.0,363946.0,15142.0,3790.0,7700.0,10595.0,4524.0
83.0,50.0,219557.0,18549.0,12440.0,5108.0,3693.0,3555.0
90.0,67.0,104025.0,4449.0,20862.0,7495.0,3583.0,10119.0
69.0,60.0,63609.0,36854.0,11145.0,6733.0,17742.0,5326.0
74.0,63.0,19356.0,12116.0,13183.0,6648.0,5369.0,4661.0
47.0,48.0,55485.0,58316.0,21303.0,4419.0,4677.0,1716.0
43.0,30.0,96537.0,137222.0,4996.0,1650.0,9124.0,4257.0
34.0,37.0,569813.0,53021.0,26334.0,6121.0,10636.0,3318.0
30.0,13.0,163788.0,57880.0,6140.0,5950.0,8407.0,2030.0
40.0,47.0,29222.0,30167.0,42681.0,7821.0,4928.0,5178.0
51.0,40.0,82063.0,19000.0,3253.0,2146.0,3115.0,2899.0
67.0,56.0,35136.0,4906.0,5107.0,11083.0,9450.0,10058.0
67.0,63.0,69210.0,30233.0,11608.0,657.0,1899.0,1218.0
51.0,40.0,429452.0,296490.0,5563.0,13054.0,10916.0,10910.0
26.0,38.0,392692.0,318925.0,61418.0,145569.0,31077.0,22472.0
40.0,38.0,19950.0,83184.0,29572.0,9333.0,16305.0,12860.0
44.0,37.0,15074.0,45172.0,15609.0,2239.0,6440.0,5249.0
53.0,51.0,367854.0,182855.0,34983.0,30092.0,19865.0,18616.0
56.0,48.0,40909.0,33267.0,462.0,12950.0,6357.0,6406.0
44.0,48.0,157703.0,43713.0,11698.0,1969.0,3091.0,1411.0
50.0,54.0,69137.0,8721.0,7666.0,2880.0,6617.0,2465.0
60.0,47.0,21363.0,69238.0,9045.0,12045.0,16884.0,11342.0
51.0,40.0,127146.0,156004.0,13711.0,11651.0,8181.0,9465.0
51.0,26.0,110051.0,45923.0,11809.0,5047.0,9154.0,3542.0
53.0,34.0,119010.0,77973.0,26478.0,23571.0,15911.0,19227.0
57.0,47.0,52567.0,51229.0,30554.0,15392.0,20663.0,7773.0
64.0,53.0,101620.0,40082.0,8179.0,6298.0,6431.0,6793.0
70.0,53.0,1091886.0,116781.0,11985.0,35598.0,13843.0,15851.0
75.0,53.0,1264012.0,115416.0,28701.0,32805.0,34892.0,22138.0
69.0,50.0,99748.0,23628.0,2296.0,3297.0,1796.0,2241.0
61.0,56.0,114699.0,61232.0,46299.0,13025.0,18473.0,5484.0
57.0,61.0,307648.0,32812.0,30037.0,29016.0,18055.0,8462.0
56.0,74.0,83693.0,9376.0,8645.0,9233.0,8617.0,2764.0
63.0,75.0,76476.0,11290.0,7472.0,6639.0,1963.0,2428.0
56.0,78.0,680468.0,28896.0,57366.0,34324.0,35998.0,6985.0
53.0,80.0,1638993.0,78997.0,40350.0,8373.0,21686.0,8727.0
51.0,80.0,62489.0,7651.0,6165.0,1998.0,1234.0,1264.0
34.0,48.0,492990.0,129583.0,18705.0,4456.0,6095.0,3720.0
38.0,34.0,163519.0,35483.0,1634.0,2420.0,4159.0,4182.0
43.0,27.0,10081.0,19266.0,12145.0,10279.0,17326.0,5555.0
47.0,21.0,3972.0,65090.0,4380.0,3430.0,7242.0,3368.0
61.0,23.0,1348817.0,48393.0,5155.0,8558.0,9881.0,8127.0
53.0,30.0,46801.0,12140.0,817.0,2948.0,1850.0,795.0
50.0,35.0,88109.0,44786.0,48107.0,22015.0,44920.0,10298.0
54.0,44.0,75954.0,25912.0,7307.0,3475.0,7523.0,2870.0
50.0,51.0,314022.0,193807.0,21197.0,69170.0,42975.0,18513.0
47.0,57.0,201903.0,96936.0,50657.0,27801.0,37074.0,6613.0
51.0,48.0,92542.0,23844.0,3170.0,5248.0,5731.0,4344.0
54.0,47.0,788695.0,109980.0,32198.0,8505.0,44311.0,18474.0
60.0,43.0,46427.0,19845.0,4162.0,2074.0,1175.0,2565.0
74.0,37.0,93965.0,22840.0,7293.0,3121.0,13808.0,5306.0
77.0,50.0,109545.0,3821.0,4115.0,6888.0,3902.0,2899.0
74.0,56.0,120776.0,55377.0,7365.0,31175.0,25477.0,7644.0
75.0,63.0,36248.0,41707.0,3004.0,35675.0,17672.0,10677.0
63.0,69.0,131110.0,27490.0,11505.0,5856.0,4972.0,1801.0
44.0,47.0,241941.0,42560.0,4612.0,457.0,6713.0,1382.0
41.0,43.0,73330.0,26363.0,3610.0,7638.0,2844.0,2373.0
26.0,34.0,687683.0,152810.0,19566.0,16805.0,23059.0,5757.0
27.0,24.0,1369976.0,135347.0,14161.0,16340.0,17998.0,8982.0
38.0,43.0,567420.0,58283.0,38282.0,19983.0,21655.0,9730.0
37.0,40.0,259464.0,42012.0,9343.0,1927.0,4626.0,2932.0
48.0,43.0,277278.0,58001.0,3207.0,22000.0,25648.0,7775.0
54.0,63.0,935100.0,7841.0,14133.0,5144.0,2796.0,2585.0
48.0,61.0,127605.0,72863.0,32125.0,24816.0,16244.0,6124.0
50.0,60.0,593673.0,53639.0,9439.0,2894.0,11801.0,3858.0
48.0,66.0,163133.0,18377.0,7323.0,8328.0,6040.0,2844.0
41.0,51.0,178713.0,23231.0,2500.0,6630.0,2133.0,1801.0
43.0,47.0,692432.0,75249.0,20688.0,14567.0,19605.0,5238.0
43.0,50.0,235711.0,37272.0,6275.0,5677.0,8185.0,2918.0
54.0,51.0,43768.0,12360.0,6286.0,11086.0,6652.0,7253.0
54.0,48.0,19764.0,109426.0,21841.0,6211.0,11493.0,8396.0
57.0,44.0,74337.0,32214.0,1482.0,10774.0,7570.0,2586.0
70.0,53.0,3390.0,21622.0,10752.0,8058.0,4231.0,9197.0
60.0,51.0,12336.0,37333.0,19982.0,11972.0,8882.0,5899.0
66.0,63.0,73596.0,10944.0,4331.0,7473.0,3511.0,2640.0
69.0,56.0,81859.0,25202.0,3762.0,1453.0,7255.0,2609.0
63.0,54.0,27020.0,66246.0,34025.0,5135.0,14971.0,10656.0
57.0,50.0,55935.0,19203.0,1543.0,7590.0,3537.0,1433.0
63.0,41.0,8896.0,29329.0,4373.0,9559.0,9195.0,7830.0
67.0,56.0,10180.0,12187.0,5916.0,15598.0,12725.0,5487.0
74.0,51.0,85672.0,9953.0,1155.0,2121.0,1082.0,2265.0
75.0,53.0,109220.0,19510.0,5846.0,4528.0,2532.0,1876.0
69.0,60.0,32168.0,30321.0,13435.0,10055.0,6075.0,6348.0
69.0,60.0,32051.0,12669.0,10676.0,12074.0,12963.0,5262.0
66.0,54.0,392375.0,128990.0,5618.0,17628.0,9597.0,17708.0
77.0,53.0,111034.0,60142.0,13633.0,19831.0,15219.0,14056.0
66.0,54.0,1416023.0,524779.0,247313.0,170582.0,54806.0,43507.0
60.0,60.0,1272902.0,104525.0,144149.0,20067.0,14960.0,23516.0
56.0,61.0,114701.0,13404.0,572.0,2341.0,1523.0,1406.0
53.0,51.0,118165.0,60073.0,1647.0,9389.0,10572.0,7991.0
56.0,40.0,245047.0,47065.0,2657.0,10841.0,12159.0,3701.0
57.0,27.0,1425979.0,67685.0,18694.0,15581.0,25707.0,8453.0
56.0,27.0,109332.0,141035.0,6661.0,25381.0,56682.0,12753.0
50.0,30.0,51816.0,31865.0,1891.0,5574.0,4727.0,2688.0
51.0,34.0,79040.0,20252.0,5271.0,1101.0,3099.0,2107.0
41.0,37.0,61442.0,51307.0,28636.0,19671.0,27407.0,3560.0
40.0,50.0,140801.0,103473.0,54528.0,27668.0,11922.0,12002.0
37.0,57.0,170036.0,157791.0,27851.0,46383.0,21709.0,11280.0
40.0,60.0,17221.0,51877.0,12136.0,11986.0,9528.0,7175.0
44.0,61.0,36611.0,36048.0,14326.0,12450.0,6444.0,3710.0
47.0,54.0,203060.0,21157.0,4122.0,7116.0,6830.0,2542.0
38.0,48.0,324381.0,60223.0,7520.0,7231.0,5104.0,1764.0
37.0,66.0,134831.0,5054.0,10489.0,11464.0,2515.0,2723.0
24.0,47.0,204972.0,14662.0,699.0,581.0,1466.0,343.0
29.0,57.0,55778.0,14312.0,6617.0,26576.0,7175.0,5501.0
61.0,67.0,7224.0,6651.0,4743.0,6467.0,7604.0,5892.0
57.0,51.0,169262.0,197474.0,41994.0,43673.0,15220.0,18685.0
80.0,57.0,57228.0,12431.0,1008.0,1897.0,3980.0,1932.0
83.0,50.0,113529.0,1437.0,439.0,997.0,889.0,392.0
67.0,47.0,142436.0,82611.0,39265.0,15614.0,42473.0,13290.0
60.0,38.0,287832.0,539215.0,66291.0,15556.0,16159.0,20682.0
63.0,38.0,97770.0,68766.0,5049.0,16035.0,31458.0,16097.0
63.0,40.0,109123.0,60171.0,38545.0,19135.0,24163.0,15875.0
56.0,26.0,1412121.0,343104.0,16171.0,28714.0,43939.0,18758.0
61.0,44.0,39468.0,34461.0,23206.0,14528.0,8554.0,3679.0
70.0,51.0,17206.0,16359.0,9267.0,7861.0,9981.0,19576.0
60.0,41.0,61965.0,25483.0,5395.0,1310.0,5368.0,1901.0
61.0,67.0,123949.0,28258.0,20214.0,47025.0,12398.0,5317.0
74.0,63.0,88034.0,8114.0,5162.0,2891.0,4302.0,2841.0
53.0,51.0,49340.0,38023.0,2423.0,1718.0,2159.0,3267.0
44.0,53.0,228978.0,196439.0,30156.0,27657.0,12384.0,7418.0
60.0,47.0,329815.0,23974.0,15508.0,21563.0,16440.0,13216.0
44.0,38.0,63676.0,78532.0,1995.0,19663.0,9239.0,4741.0
60.0,47.0,10152.0,21954.0,6385.0,4510.0,7053.0,10531.0
70.0,50.0,43435.0,45310.0,13573.0,5123.0,2637.0,5629.0
66.0,44.0,96899.0,54565.0,15582.0,20683.0,9359.0,13256.0
77.0,48.0,440592.0,59197.0,9294.0,16358.0,11281.0,9743.0
50.0,43.0,55151.0,58277.0,6269.0,4394.0,5640.0,1855.0
56.0,43.0,39941.0,38508.0,15954.0,3523.0,8691.0,8754.0
47.0,47.0,119756.0,7836.0,3469.0,8643.0,6935.0,1118.0
47.0,53.0,62892.0,24268.0,22075.0,5019.0,15894.0,5203.0
69.0,66.0,17682.0,28859.0,25007.0,4438.0,7531.0,14389.0
70.0,64.0,30097.0,28987.0,1869.0,14384.0,16284.0,7283.0
67.0,61.0,210610.0,134142.0,45324.0,26501.0,12926.0,7939.0
80.0,53.0,56806.0,27833.0,2030.0,14502.0,23374.0,14319.0
63.0,27.0,301884.0,424166.0,11149.0,2241.0,27758.0,26397.0
60.0,40.0,16526.0,17383.0,21072.0,9573.0,6147.0,4681.0
61.0,40.0,56022.0,27164.0,6589.0,8647.0,6956.0,1924.0
43.0,50.0,61536.0,59232.0,19375.0,35376.0,8400.0,6871.0
50.0,69.0,11158.0,61086.0,17252.0,7195.0,16284.0,8720.0
44.0,64.0,75232.0,84932.0,27344.0,37403.0,19080.0,10478.0
57.0,61.0,57332.0,34795.0,15183.0,2542.0,12317.0,8450.0
61.0,50.0,118177.0,3244.0,618.0,405.0,2954.0,356.0
60.0,37.0,49310.0,35711.0,466.0,2590.0,5845.0,3418.0
47.0,21.0,69783.0,132179.0,3857.0,12484.0,17000.0,3171.0
21.0,14.0,601608.0,260374.0,25983.0,22984.0,19169.0,5966.0
41.0,21.0,9616.0,7447.0,4289.0,7891.0,18494.0,13070.0
34.0,27.0,203570.0,28937.0,2699.0,2643.0,3130.0,1412.0
53.0,44.0,120823.0,36027.0,9028.0,30308.0,9330.0,11761.0
74.0,48.0,57791.0,45263.0,5872.0,11670.0,13228.0,7761.0
50.0,48.0,88213.0,33980.0,6650.0,4187.0,3717.0,2656.0
67.0,61.0,33071.0,2623.0,3184.0,3037.0,3891.0,2048.0
56.0,54.0,116720.0,39687.0,16336.0,1668.0,7828.0,2856.0
