attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta
0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0
0.0,0.0,6.0,3.0,3.0,1.0,2.0,1.0
0.0,0.0,266173.0,109300.0,15538.0,27966.0,11579.0,4173.0
0.0,0.0,830910.0,91678.0,7416.0,12688.0,10661.0,11363.0
0.0,0.0,60412.0,16991.0,4708.0,3154.0,1935.0,1362.0
0.0,0.0,416898.0,107648.0,140880.0,8894.0,5169.0,7260.0
53.0,40.0,15421.0,27057.0,2631.0,12860.0,10917.0,4396.0
60.0,48.0,92464.0,34777.0,20883.0,14542.0,7357.0,4833.0
77.0,54.0,135545.0,81778.0,52842.0,34237.0,6868.0,22375.0
77.0,78.0,19170.0,7676.0,31763.0,52745.0,8950.0,4009.0
84.0,81.0,64648.0,11220.0,4403.0,4970.0,3730.0,4169.0
78.0,83.0,130233.0,49639.0,6660.0,55680.0,5668.0,5126.0
78.0,77.0,63713.0,5705.0,1484.0,2397.0,1659.0,1519.0
97.0,61.0,17624.0,10596.0,5655.0,11120.0,4569.0,4493.0
96.0,61.0,13000.0,16333.0,9911.0,4554.0,8372.0,6317.0
94.0,44.0,596270.0,177101.0,14528.0,30821.0,18514.0,8970.0
84.0,48.0,1992633.0,35375.0,5049.0,45560.0,34943.0,6841.0
69.0,50.0,253538.0,25804.0,5583.0,38770.0,9869.0,5030.0
53.0,43.0,194937.0,130096.0,11829.0,21050.0,4558.0,10437.0
70.0,53.0,410759.0,36778.0,25402.0,3446.0,4924.0,9061.0
54.0,53.0,1579036.0,175566.0,100946.0,10974.0,3762.0,7198.0
53.0,37.0,230845.0,42768.0,4878.0,5678.0,4602.0,3452.0
50.0,44.0,749517.0,19207.0,6334.0,6366.0,1295.0,1819.0
27.0,54.0,97882.0,8946.0,7769.0,7818.0,1842.0,752.0
54.0,66.0,8760.0,7594.0,4115.0,30466.0,6413.0,5722.0
63.0,81.0,850585.0,30226.0,7862.0,32786.0,6888.0,7291.0
67.0,84.0,191119.0,80142.0,1966.0,88880.0,18311.0,13787.0
70.0,88.0,8712.0,20062.0,9319.0,50785.0,8642.0,3254.0
64.0,75.0,341263.0,12971.0,535.0,8447.0,1076.0,1850.0
66.0,78.0,346653.0,21184.0,28349.0,20563.0,11828.0,7921.0
77.0,84.0,33448.0,5434.0,21119.0,13688.0,8101.0,5714.0
83.0,84.0,19095.0,29655.0,31555.0,33989.0,5230.0,5674.0
91.0,88.0,12200.0,29799.0,21555.0,18942.0,10372.0,11026.0
88.0,88.0,44128.0,22376.0,26429.0,12483.0,2685.0,5670.0
84.0,90.0,7633.0,33947.0,29161.0,95858.0,13621.0,16418.0
88.0,94.0,14129.0,11264.0,19936.0,49124.0,6428.0,5772.0
93.0,100.0,3596.0,6572.0,21698.0,11377.0,2489.0,10130.0
78.0,100.0,15858.0,15548.0,17198.0,84557.0,4458.0,4836.0
67.0,100.0,105639.0,14196.0,2517.0,22235.0,1335.0,2421.0
75.0,100.0,26366.0,10573.0,26256.0,35539.0,3561.0,10113.0
41.0,97.0,518054.0,120446.0,52461.0,29628.0,7260.0,5641.0
35.0,84.0,104555.0,87738.0,107521.0,15364.0,16617.0,5045.0
48.0,88.0,7401.0,19289.0,8663.0,59976.0,4936.0,14223.0
48.0,77.0,3724.0,23169.0,22784.0,11763.0,8457.0,7873.0
75.0,90.0,14078.0,11854.0,36361.0,34725.0,7054.0,13466.0
100.0,88.0,6888.0,17392.0,22780.0,22389.0,16045.0,9704.0
93.0,75.0,99531.0,9790.0,367.0,5944.0,1204.0,1529.0
80.0,88.0,10285.0,15011.0,46009.0,33154.0,6015.0,5436.0
81.0,74.0,32562.0,16501.0,6708.0,7449.0,4575.0,5615.0
75.0,87.0,18480.0,11837.0,43183.0,74351.0,3270.0,13341.0
75.0,100.0,814150.0,28863.0,13050.0,72628.0,7584.0,9077.0
80.0,81.0,572761.0,85432.0,18266.0,72566.0,24113.0,13877.0
51.0,100.0,8207.0,26667.0,137208.0,71221.0,11651.0,6246.0
37.0,84.0,13736.0,44386.0,28236.0,11892.0,12498.0,3528.0
40.0,77.0,27368.0,24534.0,4150.0,35218.0,10976.0,6789.0
43.0,87.0,339299.0,48874.0,32637.0,98724.0,9462.0,16920.0
74.0,54.0,30618.0,94111.0,1713.0,26694.0,7037.0,22938.0
100.0,56.0,11957.0,10007.0,18537.0,5089.0,5620.0,11103.0
97.0,54.0,195474.0,20458.0,9365.0,10120.0,3166.0,3758.0
88.0,61.0,11477.0,24926.0,29265.0,97297.0,4344.0,9169.0
81.0,81.0,7711.0,16595.0,22149.0,29058.0,6033.0,9645.0
60.0,84.0,364660.0,36133.0,13454.0,38220.0,3705.0,5281.0
53.0,84.0,555706.0,70977.0,34123.0,36762.0,17954.0,7773.0
74.0,64.0,33693.0,18825.0,10801.0,4984.0,3109.0,8967.0
63.0,41.0,123313.0,10225.0,1277.0,596.0,971.0,768.0
66.0,34.0,501231.0,94846.0,36694.0,31899.0,26465.0,11655.0
48.0,29.0,635531.0,145995.0,35523.0,44282.0,5504.0,3613.0
20.0,23.0,416134.0,138626.0,4989.0,38613.0,4611.0,6370.0
