attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,8.0,4.0,2.0,1.0,0.0,1.0,0.4835282053282582,0.3291100872129031
0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.9874379526435934,0.9017522145022403
0.0,0.0,102227.0,129739.0,19171.0,3248.0,5167.0,10990.0,4676.855276606777,3120.4952408668432
0.0,0.0,1095003.0,221086.0,105757.0,348303.0,184593.0,27813.0,78816.34247807982,63639.53551660421
0.0,0.0,617911.0,393214.0,32324.0,67251.0,20811.0,19786.0,11035.588181990193,8563.157416095564
0.0,0.0,584548.0,37401.0,7788.0,6181.0,5823.0,2752.0,2167.2911264851823,1375.7917138242146
51.0,48.0,60080.0,10383.0,14839.0,18622.0,21660.0,17813.0,10027.080411516867,4333.11020724875
64.0,41.0,94751.0,50336.0,17219.0,9758.0,31156.0,30391.0,11377.264797151056,7068.464182282287
70.0,41.0,111950.0,10444.0,6440.0,3844.0,9519.0,5114.0,2915.682991243538,2169.2524782473133
80.0,34.0,909019.0,69697.0,8995.0,19275.0,34215.0,24185.0,12178.233385689631,6116.852397895915
61.0,4.0,1350342.0,495969.0,37303.0,3690.0,38708.0,30195.0,20493.556882413846,13697.715493748643
56.0,23.0,230300.0,70949.0,70477.0,37036.0,40686.0,32463.0,18057.171140973267,9038.250742306616
51.0,37.0,108139.0,15315.0,28481.0,9365.0,14222.0,7438.0,4661.323325028262,3335.312775175983
40.0,41.0,103665.0,282058.0,21868.0,44318.0,20478.0,22503.0,8722.554369244654,6564.5745532725205
57.0,56.0,74776.0,24644.0,10407.0,6719.0,20623.0,20395.0,9320.239675293904,6143.555980325535
64.0,63.0,14642.0,14414.0,26769.0,42655.0,7644.0,35268.0,7246.656871443827,6951.8552307142845
53.0,48.0,72296.0,136608.0,11419.0,37261.0,17800.0,6955.0,5635.068188077588,3110.109482542517
60.0,50.0,85511.0,111765.0,29927.0,5315.0,10574.0,18201.0,7224.524118547182,3822.3648677963115
51.0,67.0,575358.0,22044.0,32809.0,24461.0,14421.0,14134.0,7347.604169437782,3127.4796663946104
53.0,51.0,138120.0,18860.0,13031.0,9982.0,23402.0,21140.0,8826.430314193292,6421.762697130374
67.0,61.0,140523.0,10320.0,5850.0,6561.0,4234.0,4773.0,2617.0296278697274,1894.707361189986
61.0,47.0,80584.0,121202.0,894.0,7321.0,10231.0,8092.0,4396.191907137724,2892.014986830162
57.0,26.0,779167.0,61220.0,8653.0,6821.0,15799.0,9422.0,4658.746393529665,2791.622450104076
57.0,17.0,67289.0,65219.0,4059.0,15304.0,10365.0,38870.0,8804.724501685438,7466.380946485038
38.0,1.0,326951.0,199932.0,5766.0,11893.0,5572.0,5052.0,2765.5574152347585,1253.279762161524
47.0,4.0,434341.0,35268.0,837.0,5387.0,9083.0,6162.0,3843.3748846938697,2483.1602401727287
38.0,11.0,1943395.0,141517.0,38678.0,21356.0,12842.0,9659.0,4911.08149811914,3858.3159433784363
17.0,10.0,1435915.0,392137.0,36710.0,26892.0,32129.0,18978.0,13993.433411954942,11619.856275230659
30.0,29.0,20401.0,18366.0,6293.0,6154.0,3514.0,3766.0,1568.8658583980014,1030.2903173532068
26.0,47.0,438871.0,77705.0,17226.0,28496.0,8133.0,9783.0,4528.360566461246,3788.3192083478757
35.0,51.0,481471.0,25680.0,16294.0,10966.0,19108.0,7096.0,5522.708242268807,3722.348119094021
30.0,56.0,983981.0,201204.0,34587.0,14123.0,10789.0,7692.0,3724.365771061022,1983.340498924764
34.0,40.0,78829.0,42225.0,6691.0,2538.0,22605.0,6848.0,7261.192725985963,6461.543740411098
41.0,30.0,129592.0,98061.0,25944.0,9102.0,14460.0,26232.0,8898.631702243143,7479.251943889826
34.0,23.0,427791.0,158319.0,30255.0,18055.0,23957.0,11226.0,8601.7990983353,5244.372695547418
43.0,35.0,14431.0,60006.0,31521.0,13940.0,7946.0,9973.0,4508.906061180965,4127.114978386567
40.0,47.0,20118.0,18817.0,16028.0,6783.0,39706.0,4197.0,7802.394126735004,7170.791194592397
44.0,57.0,588086.0,45229.0,41496.0,15477.0,14742.0,28193.0,5699.2695192731735,4645.282808231221
47.0,67.0,325755.0,46104.0,30044.0,6817.0,10748.0,6464.0,4142.187707891834,2726.1351554906205
48.0,61.0,715529.0,38927.0,9420.0,7826.0,3028.0,6437.0,2169.201768238776,914.8399172003277
48.0,61.0,729780.0,93107.0,66139.0,72273.0,112071.0,132094.0,57093.570359633326,42819.935693651496
