attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,69.0,31.0,18.0,6.0,1.0,1.0,0.6447042737710109,0.4388134496172041
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.71532807151038,100.19469050024892
0.0,0.0,242764.0,22714.0,4347.0,20257.0,4950.0,7969.0,3739.573764837715,2495.121496364347
0.0,0.0,418788.0,227058.0,64886.0,46453.0,6949.0,14897.0,8106.276742540852,6545.339081267648
0.0,0.0,2908129.0,1215038.0,123403.0,117573.0,40747.0,46885.0,24438.25592752867,18963.070117438754
0.0,0.0,315211.0,54011.0,819.0,10720.0,5062.0,3786.0,2113.6950553510815,1341.769043930571
41.0,54.0,1069087.0,182500.0,44001.0,51130.0,9151.0,12254.0,5223.907956927619,2257.4635847032923
57.0,37.0,922933.0,311998.0,6337.0,30938.0,36641.0,18508.0,9547.903504979893,5931.919063511433
81.0,40.0,880242.0,55329.0,12128.0,18568.0,18350.0,31451.0,9447.68640922097,7029.027921915884
69.0,21.0,1375049.0,196525.0,4678.0,16022.0,22857.0,8282.0,6094.947318468351,3061.3547909035415
53.0,27.0,732062.0,239030.0,94747.0,74910.0,18441.0,12558.0,9094.693644235731,6078.814271057458
30.0,64.0,105558.0,120442.0,69719.0,18891.0,17843.0,11814.0,7184.84719214564,3596.2693137696992
17.0,84.0,1625959.0,328595.0,722193.0,84756.0,692693.0,180601.0,170053.5383423526,121678.2658803632
17.0,84.0,1450675.0,78340.0,38451.0,27105.0,46796.0,61443.0,21176.089275429593,15937.076561593303
53.0,100.0,189466.0,15436.0,6689.0,7115.0,4471.0,12148.0,3081.891008796577,2031.4681378841956
69.0,100.0,551184.0,80684.0,30846.0,14469.0,5450.0,12358.0,3421.7291635124184,3282.5296140607825
63.0,100.0,446753.0,89469.0,17798.0,12722.0,2183.0,4601.0,1958.6265520093993,1081.006087034082
53.0,100.0,691394.0,26234.0,22186.0,4880.0,6085.0,5067.0,3074.8081518376457,1626.8253052993343
27.0,100.0,732003.0,147999.0,62980.0,34099.0,14658.0,15850.0,7743.015914786506,3295.7851663799697
13.0,100.0,49992.0,9331.0,4011.0,2611.0,2173.0,626.0,492.35472117521994,358.21788306817115
34.0,100.0,1333307.0,440626.0,118147.0,155661.0,145234.0,106215.0,67658.44390911117,48984.142310074756
16.0,77.0,162569.0,90018.0,6452.0,4156.0,4523.0,3055.0,1789.5089369414163,1177.2203702705544
26.0,74.0,206859.0,95812.0,41853.0,20399.0,20420.0,19625.0,7760.03769595768,4649.98384024001
41.0,61.0,1680517.0,412090.0,114972.0,59242.0,48595.0,57369.0,23843.807416421656,20219.479820356744
44.0,60.0,368056.0,14422.0,8750.0,3500.0,9439.0,5014.0,3566.8329857324334,1616.3973206280946
51.0,78.0,1587016.0,464455.0,33323.0,111028.0,23691.0,27339.0,12995.14131112783,8396.011106730486
48.0,75.0,1405215.0,904297.0,250042.0,211386.0,183411.0,135083.0,69367.62231452667,54497.609789797716
50.0,90.0,1417107.0,167637.0,263362.0,126710.0,50137.0,63884.0,31326.28761425788,26012.69817050293
35.0,90.0,35910.0,22639.0,11491.0,5516.0,2265.0,2530.0,1087.6205395095349,714.2515753101892
34.0,77.0,327439.0,182260.0,21963.0,9147.0,19858.0,8402.0,6814.794267403733,5701.095494769606
35.0,81.0,922467.0,90778.0,75727.0,67112.0,40279.0,28453.0,15399.152719691345,10379.148172824058
27.0,69.0,842220.0,364585.0,139814.0,134795.0,50553.0,51349.0,21181.444145046047,11279.777170386398
