attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,35.0,8.0,1.0,2.0,2.0,1.0,1.0,0.0
0.0,0.0,60561.0,67614.0,14878.0,4104.0,659.0,290.0,240.0,45.0
0.0,0.0,1096710.0,301842.0,78919.0,49682.0,11494.0,27469.0,19069.0,18837.0
0.0,0.0,139068.0,32275.0,1755.0,6822.0,9299.0,4799.0,5790.0,433.0
0.0,0.0,72217.0,24362.0,2844.0,5140.0,5802.0,4187.0,3142.0,1082.0
0.0,0.0,213123.0,69221.0,3293.0,26882.0,13160.0,9445.0,6476.0,982.0
51.0,54.0,50044.0,21779.0,7865.0,7659.0,4832.0,5561.0,2118.0,1725.0
34.0,47.0,22800.0,43803.0,6763.0,3231.0,3781.0,3793.0,1802.0,1808.0
20.0,43.0,55558.0,96795.0,13996.0,11187.0,7852.0,9121.0,1740.0,1280.0
13.0,54.0,197530.0,126785.0,53011.0,23885.0,35064.0,16732.0,4568.0,3835.0
8.0,63.0,34436.0,11716.0,12102.0,16472.0,7817.0,4261.0,2728.0,1807.0
8.0,64.0,77192.0,20741.0,4497.0,1688.0,6713.0,1093.0,852.0,386.0
35.0,60.0,545592.0,36422.0,4251.0,6596.0,5189.0,5398.0,2110.0,559.0
29.0,63.0,455049.0,13209.0,9995.0,2408.0,1171.0,1395.0,561.0,217.0
37.0,51.0,34934.0,12273.0,2934.0,8162.0,731.0,2710.0,734.0,195.0
66.0,54.0,49713.0,25855.0,7357.0,2616.0,5650.0,3882.0,2297.0,1343.0
41.0,77.0,130987.0,30657.0,14708.0,13315.0,2620.0,2866.0,303.0,235.0
34.0,75.0,221458.0,26429.0,16513.0,2502.0,2665.0,1570.0,1673.0,737.0
43.0,84.0,44938.0,10589.0,21346.0,9385.0,4539.0,7336.0,2072.0,1932.0
54.0,80.0,60950.0,22853.0,3850.0,3426.0,5978.0,6294.0,2168.0,733.0
54.0,64.0,37811.0,18813.0,4357.0,3068.0,729.0,1045.0,891.0,471.0
57.0,34.0,92750.0,57202.0,2625.0,970.0,4588.0,2254.0,894.0,682.0
43.0,7.0,56366.0,45533.0,4023.0,5542.0,4078.0,6097.0,6665.0,1305.0
38.0,20.0,200366.0,14512.0,3229.0,9211.0,14725.0,4243.0,1023.0,868.0
50.0,16.0,174149.0,47770.0,9642.0,1676.0,9701.0,4034.0,3011.0,1083.0
54.0,35.0,21377.0,75905.0,18125.0,8341.0,20093.0,5042.0,4297.0,885.0
27.0,47.0,176621.0,145609.0,50547.0,13081.0,3472.0,6410.0,1394.0,1203.0
24.0,60.0,34356.0,10785.0,10178.0,20153.0,12087.0,6558.0,3157.0,2256.0
50.0,83.0,13939.0,5582.0,6154.0,9761.0,3818.0,4339.0,1609.0,1289.0
83.0,88.0,51492.0,7399.0,1681.0,3472.0,2334.0,3899.0,3273.0,1760.0
100.0,90.0,16902.0,13465.0,4719.0,4641.0,4805.0,4242.0,1774.0,2070.0
100.0,96.0,26378.0,7993.0,14189.0,8487.0,2653.0,3764.0,1642.0,528.0
81.0,90.0,20829.0,17607.0,10184.0,5417.0,2860.0,2771.0,1909.0,914.0
40.0,80.0,182875.0,54242.0,5861.0,7050.0,7331.0,1279.0,254.0,316.0
34.0,91.0,16185.0,9119.0,4706.0,10944.0,3474.0,2600.0,1660.0,1028.0
44.0,81.0,85067.0,3221.0,3032.0,2781.0,2488.0,2092.0,934.0,389.0
64.0,81.0,88369.0,6579.0,7789.0,5841.0,6508.0,3950.0,685.0,1173.0
93.0,91.0,22197.0,21394.0,6602.0,6707.0,6645.0,4133.0,1757.0,1070.0
100.0,80.0,22253.0,4895.0,3865.0,2151.0,4300.0,3872.0,1288.0,1078.0
100.0,78.0,18500.0,7977.0,7842.0,5230.0,7534.0,4805.0,1239.0,1619.0
94.0,67.0,7478.0,29591.0,8381.0,4546.0,3336.0,4108.0,1177.0,1982.0
100.0,80.0,27640.0,8125.0,9079.0,9981.0,4632.0,7502.0,2077.0,2027.0
74.0,78.0,33762.0,16504.0,5714.0,2247.0,1049.0,930.0,622.0,301.0
80.0,70.0,30541.0,10633.0,7084.0,1297.0,4459.0,8184.0,1306.0,999.0
91.0,83.0,27287.0,3251.0,2640.0,11006.0,8347.0,5085.0,1311.0,1347.0
74.0,88.0,25047.0,9707.0,16380.0,13936.0,7845.0,2608.0,1026.0,701.0
78.0,81.0,4387.0,20793.0,2588.0,3475.0,3941.0,1624.0,1659.0,1051.0
67.0,91.0,29695.0,10931.0,8442.0,8717.0,5804.0,5476.0,1187.0,1167.0
53.0,77.0,28695.0,40453.0,2840.0,10252.0,7930.0,4962.0,2603.0,914.0
47.0,48.0,89488.0,7203.0,653.0,914.0,668.0,370.0,351.0,110.0
50.0,61.0,337994.0,9418.0,3463.0,3207.0,1676.0,1080.0,690.0,417.0
47.0,60.0,46462.0,7266.0,8337.0,2351.0,3422.0,2828.0,1637.0,2478.0
37.0,56.0,98020.0,57740.0,7734.0,4702.0,8027.0,2607.0,1264.0,1335.0
37.0,66.0,57117.0,88945.0,21317.0,18261.0,11477.0,5123.0,3175.0,450.0
34.0,67.0,53166.0,48606.0,34982.0,21186.0,12771.0,5907.0,1533.0,1027.0
17.0,48.0,213102.0,12669.0,532.0,1669.0,1412.0,813.0,813.0,201.0
11.0,53.0,469531.0,59542.0,15280.0,4406.0,7020.0,1730.0,1299.0,355.0
17.0,53.0,81271.0,56395.0,8465.0,17304.0,7154.0,5692.0,2161.0,906.0
20.0,41.0,416049.0,38883.0,7360.0,6259.0,6484.0,3165.0,3853.0,1733.0
13.0,57.0,29666.0,74885.0,22432.0,27126.0,7174.0,3991.0,1395.0,906.0
27.0,66.0,280245.0,26090.0,3729.0,12749.0,4021.0,2908.0,1759.0,584.0
38.0,84.0,86752.0,13921.0,24589.0,16792.0,5052.0,8162.0,1857.0,3287.0
23.0,78.0,66823.0,24296.0,2719.0,2826.0,3753.0,636.0,354.0,557.0
29.0,83.0,265377.0,78398.0,54767.0,38418.0,19383.0,8397.0,4963.0,4467.0
26.0,77.0,73993.0,105383.0,26266.0,14104.0,26034.0,7188.0,4657.0,1615.0
21.0,56.0,7828.0,30280.0,7550.0,7367.0,9886.0,4951.0,10315.0,2205.0
53.0,77.0,34977.0,7371.0,11001.0,3037.0,3758.0,4561.0,1820.0,1201.0
63.0,69.0,6806.0,10435.0,4929.0,8621.0,11692.0,2514.0,1453.0,1550.0
80.0,84.0,23656.0,10853.0,8440.0,8014.0,1694.0,5475.0,4881.0,2537.0
63.0,84.0,201105.0,52387.0,4148.0,12738.0,3455.0,2124.0,740.0,470.0
54.0,78.0,30664.0,20918.0,13428.0,5823.0,12021.0,4062.0,3007.0,1473.0
66.0,74.0,9117.0,15998.0,6231.0,3321.0,2642.0,6856.0,1543.0,1682.0
69.0,61.0,140178.0,40010.0,13673.0,11273.0,9020.0,14945.0,2660.0,1895.0
61.0,60.0,115127.0,31141.0,7330.0,2978.0,5096.0,667.0,497.0,563.0
53.0,60.0,271550.0,94830.0,19852.0,46816.0,28456.0,8355.0,4421.0,1675.0
30.0,60.0,1023880.0,50011.0,12160.0,7720.0,3681.0,3593.0,1308.0,960.0
11.0,44.0,1029057.0,38621.0,5944.0,482.0,9087.0,2058.0,1385.0,586.0
35.0,56.0,6414.0,17622.0,6484.0,9192.0,2500.0,3456.0,2590.0,1043.0
41.0,63.0,28177.0,19577.0,18715.0,11246.0,8864.0,4971.0,6835.0,811.0
40.0,70.0,72554.0,14362.0,8288.0,3312.0,2433.0,1148.0,827.0,452.0
35.0,83.0,19570.0,7328.0,1296.0,8399.0,5522.0,2133.0,2733.0,1410.0
38.0,69.0,245305.0,10050.0,1289.0,3304.0,2387.0,1904.0,663.0,522.0
41.0,63.0,163703.0,79276.0,22867.0,13188.0,9459.0,6667.0,3269.0,1531.0
66.0,70.0,28017.0,9157.0,7351.0,4029.0,3384.0,4250.0,3133.0,2002.0
43.0,60.0,253630.0,79971.0,13650.0,7592.0,8126.0,1893.0,564.0,330.0
38.0,64.0,88288.0,50929.0,25392.0,9164.0,9075.0,7005.0,1675.0,2032.0
40.0,67.0,95775.0,83598.0,10782.0,44364.0,14804.0,9402.0,5156.0,7455.0
14.0,61.0,445798.0,69454.0,26784.0,2296.0,6749.0,3035.0,943.0,528.0
35.0,75.0,68292.0,25693.0,16529.0,13612.0,14157.0,4688.0,3355.0,3017.0
