attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,16.0,10.0,4.0,5.0,5.0,2.0,2.0,1.0
0.0,0.0,5445.0,4837.0,2445.0,1557.0,458.0,82.0,51.0,71.0
0.0,0.0,410664.0,96589.0,63105.0,57348.0,53367.0,23059.0,21751.0,14822.0
0.0,0.0,87538.0,15285.0,6947.0,5482.0,5955.0,4037.0,3235.0,1550.0
0.0,0.0,615351.0,54095.0,11498.0,16270.0,10903.0,14745.0,6196.0,2758.0
0.0,0.0,155934.0,28043.0,7380.0,4386.0,4289.0,1237.0,2393.0,521.0
40.0,51.0,343277.0,34870.0,24480.0,20443.0,7178.0,5360.0,1854.0,609.0
48.0,60.0,211870.0,44850.0,45618.0,27796.0,42397.0,13752.0,6978.0,5465.0
44.0,50.0,193052.0,45846.0,14042.0,1783.0,7104.0,3294.0,2220.0,922.0
29.0,30.0,152578.0,116241.0,16129.0,6506.0,5603.0,2315.0,1267.0,375.0
40.0,37.0,512284.0,35659.0,28316.0,45702.0,21924.0,15431.0,10050.0,6781.0
37.0,27.0,32132.0,120160.0,35506.0,27474.0,21584.0,16576.0,11122.0,4616.0
51.0,35.0,259742.0,107271.0,37992.0,19577.0,27356.0,27728.0,14907.0,5189.0
75.0,43.0,123511.0,18598.0,1931.0,5274.0,5084.0,2942.0,4547.0,1381.0
81.0,27.0,26342.0,16216.0,11973.0,1443.0,3177.0,7892.0,3915.0,847.0
66.0,16.0,147484.0,74422.0,12836.0,6544.0,4223.0,2555.0,1523.0,789.0
66.0,24.0,41549.0,21566.0,3162.0,16501.0,8279.0,6902.0,12719.0,1933.0
81.0,40.0,23002.0,4600.0,14826.0,4746.0,17286.0,10190.0,7529.0,2565.0
88.0,20.0,19497.0,29281.0,6394.0,2749.0,4709.0,25606.0,9503.0,2628.0
100.0,48.0,387553.0,16853.0,34892.0,7484.0,12663.0,13104.0,16176.0,3172.0
91.0,30.0,55781.0,44623.0,7318.0,2627.0,1006.0,2139.0,1381.0,774.0
67.0,34.0,51057.0,39923.0,27903.0,3497.0,8160.0,5601.0,5430.0,1747.0
54.0,69.0,299411.0,31975.0,21902.0,58004.0,22246.0,19478.0,9585.0,8748.0
43.0,43.0,47153.0,116625.0,14673.0,23332.0,20984.0,11232.0,5049.0,11777.0
56.0,80.0,36146.0,18833.0,25264.0,42101.0,5973.0,11885.0,4555.0,2828.0
50.0,69.0,87665.0,39506.0,12744.0,6411.0,3939.0,2604.0,1431.0,975.0
56.0,44.0,56723.0,26501.0,6639.0,10022.0,17510.0,13399.0,3642.0,2923.0
54.0,53.0,50697.0,116720.0,37538.0,29367.0,31732.0,11065.0,16825.0,3268.0
53.0,40.0,1027944.0,45583.0,74922.0,12459.0,30111.0,15790.0,20486.0,2024.0
53.0,41.0,183520.0,122499.0,30037.0,36277.0,21601.0,7955.0,8817.0,3932.0
50.0,56.0,12155.0,5104.0,3615.0,27095.0,24589.0,9077.0,9194.0,7658.0
69.0,74.0,4991.0,5831.0,13368.0,16391.0,7530.0,12268.0,7155.0,3454.0
64.0,43.0,159782.0,53843.0,2965.0,4130.0,1871.0,4543.0,2113.0,784.0
61.0,48.0,2149740.0,85314.0,24390.0,26880.0,14092.0,4870.0,4281.0,1208.0
38.0,63.0,1195455.0,95282.0,233750.0,69976.0,46696.0,11670.0,6628.0,5467.0
29.0,54.0,120835.0,69507.0,29856.0,46846.0,23933.0,23904.0,14441.0,3434.0
26.0,87.0,728968.0,93798.0,18555.0,89253.0,13853.0,11163.0,10844.0,4693.0
54.0,75.0,40696.0,28750.0,1005.0,14312.0,16720.0,19606.0,5461.0,2228.0
80.0,57.0,15552.0,5277.0,2086.0,19933.0,21868.0,7887.0,20234.0,3758.0
83.0,53.0,545260.0,95959.0,33642.0,33085.0,25263.0,31551.0,5153.0,1986.0
100.0,47.0,45524.0,21748.0,28743.0,5085.0,22183.0,15651.0,11355.0,5054.0
93.0,67.0,5574.0,15920.0,14532.0,20300.0,8550.0,10930.0,10071.0,1943.0
91.0,69.0,129127.0,3506.0,341.0,6772.0,4115.0,2745.0,1788.0,647.0
94.0,57.0,10195.0,27195.0,3604.0,5856.0,8548.0,10847.0,4886.0,3337.0
96.0,51.0,7610.0,19928.0,9556.0,8764.0,9487.0,12702.0,5695.0,3500.0
100.0,50.0,9714.0,5590.0,7307.0,20385.0,6380.0,20569.0,7039.0,6332.0
100.0,41.0,17178.0,78923.0,25118.0,18840.0,13416.0,16812.0,6356.0,5277.0
87.0,48.0,269903.0,36806.0,2638.0,12562.0,4976.0,3704.0,2060.0,755.0
81.0,61.0,8251.0,24049.0,16998.0,20257.0,4877.0,11317.0,7988.0,1714.0
63.0,64.0,5033.0,21630.0,5216.0,33571.0,5246.0,7341.0,4572.0,4502.0
47.0,48.0,411288.0,55833.0,1259.0,4264.0,2604.0,1540.0,1821.0,560.0
54.0,57.0,21032.0,23207.0,3664.0,22859.0,5674.0,8852.0,8745.0,1854.0
66.0,35.0,5205.0,13896.0,1038.0,5111.0,10823.0,9644.0,4339.0,8583.0
75.0,26.0,8747.0,16344.0,10008.0,12497.0,6382.0,11029.0,7948.0,4097.0
100.0,54.0,4262.0,12194.0,5238.0,16638.0,6921.0,9414.0,16678.0,4109.0
100.0,53.0,653381.0,21865.0,31891.0,11162.0,35059.0,24433.0,8856.0,4023.0
87.0,67.0,171016.0,94353.0,38421.0,23464.0,15604.0,11694.0,9095.0,1884.0
94.0,51.0,5251.0,18285.0,3945.0,3987.0,10167.0,21077.0,5882.0,4441.0
78.0,43.0,122284.0,72450.0,21829.0,19567.0,19723.0,7484.0,7115.0,2935.0
69.0,37.0,319957.0,9176.0,3498.0,1356.0,2839.0,2751.0,4610.0,962.0
67.0,20.0,255975.0,24493.0,575.0,4068.0,2039.0,2533.0,2742.0,1263.0
51.0,50.0,41673.0,12822.0,20276.0,21801.0,5974.0,8104.0,9583.0,1400.0
