attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,622470.0,53589.0,25774.0,35807.0,8953.0,5677.0,3960.0,6301.0
0.0,0.0,74316.0,313085.0,16364.0,4854.0,3677.0,2059.0,1851.0,1321.0
0.0,0.0,69249.0,7666.0,3783.0,1722.0,2639.0,1420.0,1756.0,624.0
0.0,0.0,91414.0,34600.0,6318.0,2547.0,6003.0,1694.0,951.0,489.0
44.0,51.0,550521.0,43966.0,49987.0,20036.0,4800.0,5056.0,2248.0,2207.0
56.0,51.0,82334.0,38842.0,1701.0,7478.0,2007.0,3749.0,425.0,735.0
64.0,54.0,248337.0,33107.0,10501.0,2350.0,4659.0,2585.0,968.0,771.0
77.0,66.0,71490.0,1938.0,1356.0,1632.0,591.0,425.0,247.0,214.0
80.0,56.0,85414.0,12789.0,193.0,6826.0,2131.0,1475.0,904.0,809.0
74.0,56.0,51054.0,6573.0,722.0,614.0,279.0,317.0,261.0,148.0
69.0,57.0,73257.0,12253.0,6122.0,213.0,1505.0,732.0,441.0,395.0
75.0,47.0,3206.0,22056.0,5635.0,1502.0,5304.0,4361.0,2415.0,1811.0
78.0,41.0,214817.0,69845.0,12710.0,5745.0,19209.0,10328.0,3653.0,1900.0
78.0,44.0,390306.0,55671.0,7586.0,8001.0,6996.0,2059.0,1360.0,755.0
75.0,41.0,353047.0,37554.0,4838.0,8861.0,6750.0,1499.0,832.0,1334.0
66.0,41.0,74867.0,36792.0,6127.0,1937.0,1399.0,1975.0,1430.0,1159.0
63.0,44.0,86175.0,31308.0,9509.0,1071.0,4346.0,3630.0,1406.0,500.0
70.0,50.0,1627690.0,53650.0,16829.0,27709.0,9126.0,7252.0,8947.0,2943.0
81.0,51.0,368004.0,33443.0,8446.0,6412.0,10010.0,5051.0,574.0,713.0
83.0,60.0,96318.0,12559.0,8027.0,3182.0,936.0,1456.0,1130.0,586.0
74.0,53.0,240277.0,47569.0,2503.0,2776.0,1272.0,1064.0,1203.0,384.0
77.0,50.0,53515.0,13972.0,4701.0,2873.0,1308.0,3022.0,554.0,785.0
75.0,44.0,195399.0,5860.0,770.0,299.0,708.0,595.0,429.0,413.0
66.0,34.0,186441.0,102341.0,8725.0,6222.0,2797.0,2613.0,2194.0,878.0
75.0,48.0,60583.0,3871.0,3359.0,2104.0,1090.0,697.0,712.0,187.0
60.0,48.0,2169230.0,814423.0,362480.0,25184.0,16884.0,24393.0,8337.0,17874.0
57.0,56.0,402816.0,44314.0,20179.0,5846.0,1629.0,4730.0,1562.0,404.0
61.0,54.0,126935.0,7958.0,155.0,832.0,544.0,282.0,538.0,104.0
63.0,50.0,272403.0,33950.0,13614.0,4282.0,2715.0,4036.0,3041.0,2419.0
61.0,43.0,126186.0,131567.0,18875.0,2984.0,13051.0,2187.0,2703.0,2167.0
61.0,43.0,112858.0,37736.0,17055.0,2624.0,2553.0,4325.0,1719.0,1255.0
53.0,44.0,428513.0,650731.0,78650.0,31909.0,27778.0,7645.0,7738.0,1843.0
57.0,44.0,5584.0,29943.0,10226.0,6658.0,9311.0,7807.0,2969.0,2447.0
84.0,51.0,17339.0,16254.0,10606.0,4138.0,8039.0,13406.0,4594.0,1902.0
83.0,48.0,36399.0,14774.0,3085.0,2357.0,1597.0,1101.0,520.0,132.0
97.0,48.0,36826.0,57539.0,3985.0,8718.0,6501.0,6066.0,2079.0,1168.0
90.0,41.0,211080.0,14827.0,1300.0,1294.0,4172.0,1088.0,663.0,1197.0
87.0,43.0,24846.0,14908.0,8938.0,5462.0,6091.0,7056.0,3149.0,1176.0
83.0,37.0,36835.0,51808.0,1793.0,5804.0,6767.0,2330.0,2809.0,2153.0
70.0,34.0,76318.0,59973.0,3749.0,3975.0,5637.0,1236.0,1033.0,1009.0
81.0,40.0,23552.0,24852.0,10420.0,3809.0,6730.0,9144.0,6487.0,3056.0
74.0,43.0,83282.0,7774.0,7765.0,748.0,2023.0,1210.0,620.0,1046.0
88.0,53.0,14871.0,6808.0,1849.0,5334.0,6328.0,4427.0,5089.0,2090.0
100.0,67.0,16795.0,17258.0,4916.0,14709.0,3257.0,5328.0,2192.0,2181.0
90.0,63.0,152552.0,253441.0,41490.0,14602.0,14962.0,11301.0,4831.0,3063.0
87.0,43.0,77789.0,62221.0,2101.0,1942.0,2145.0,3082.0,998.0,317.0
81.0,48.0,8509.0,17422.0,13853.0,7091.0,3868.0,6233.0,2855.0,1483.0
84.0,44.0,43812.0,21656.0,13058.0,7353.0,5110.0,8952.0,1765.0,826.0
100.0,50.0,9279.0,12297.0,1767.0,10327.0,13186.0,6266.0,1439.0,1467.0
100.0,67.0,7700.0,19688.0,2711.0,20401.0,5495.0,8740.0,1873.0,1187.0
100.0,61.0,179109.0,35489.0,8342.0,5206.0,3529.0,2440.0,750.0,839.0
93.0,57.0,109148.0,6363.0,1733.0,1946.0,3089.0,574.0,755.0,378.0
87.0,69.0,12392.0,6126.0,4377.0,14912.0,1473.0,3219.0,2394.0,2273.0
78.0,69.0,40735.0,30885.0,7230.0,20048.0,6442.0,3820.0,3643.0,4573.0
83.0,75.0,245720.0,8601.0,1757.0,7921.0,7060.0,1939.0,1308.0,1119.0
91.0,74.0,42575.0,8149.0,1455.0,2059.0,2217.0,1754.0,1446.0,259.0
91.0,69.0,13253.0,5480.0,21039.0,1664.0,9265.0,3466.0,2573.0,1663.0
77.0,60.0,151318.0,55882.0,7012.0,2275.0,1530.0,697.0,1179.0,203.0
70.0,56.0,12811.0,41285.0,6821.0,9033.0,1480.0,3254.0,3236.0,1171.0
70.0,66.0,3095.0,9053.0,2074.0,16606.0,4009.0,4018.0,3374.0,1013.0
67.0,48.0,388397.0,67928.0,1705.0,6029.0,6275.0,6322.0,7020.0,3119.0
83.0,60.0,1751697.0,167266.0,111483.0,37506.0,17019.0,19361.0,8422.0,9484.0
83.0,56.0,42048.0,12200.0,1226.0,2135.0,1410.0,1014.0,2913.0,895.0
83.0,47.0,28198.0,19204.0,3765.0,4529.0,3800.0,4478.0,4209.0,845.0
77.0,48.0,303464.0,33760.0,3542.0,1998.0,2420.0,1310.0,503.0,803.0
66.0,37.0,151907.0,114285.0,14334.0,7118.0,1969.0,2074.0,593.0,375.0
75.0,41.0,16174.0,16216.0,3559.0,12487.0,15728.0,5978.0,2593.0,1552.0
80.0,40.0,21820.0,12296.0,3226.0,2818.0,2477.0,6417.0,8332.0,8740.0
88.0,44.0,80552.0,12557.0,1111.0,3529.0,5676.0,1695.0,3271.0,957.0
100.0,50.0,50773.0,20315.0,1423.0,7501.0,2383.0,3221.0,1664.0,820.0
100.0,43.0,15133.0,36075.0,1549.0,7656.0,5886.0,7825.0,6636.0,1590.0
100.0,44.0,36198.0,23140.0,6146.0,6026.0,8050.0,8893.0,9145.0,3637.0
100.0,53.0,37682.0,17029.0,5464.0,14511.0,5445.0,5137.0,3188.0,2314.0
94.0,50.0,362544.0,56668.0,8506.0,6239.0,3565.0,2724.0,852.0,285.0
91.0,63.0,110419.0,18626.0,29414.0,10661.0,10110.0,7094.0,5078.0,1682.0
94.0,64.0,33999.0,21411.0,15869.0,6467.0,11196.0,17234.0,2149.0,4732.0
87.0,66.0,965128.0,65991.0,50169.0,13535.0,5271.0,5821.0,19225.0,4139.0
100.0,70.0,14261.0,14224.0,10435.0,1874.0,4902.0,7728.0,6057.0,5667.0
100.0,56.0,26985.0,25175.0,584.0,4954.0,4689.0,3708.0,5800.0,3919.0
90.0,50.0,72136.0,27269.0,1409.0,3570.0,730.0,1861.0,1018.0,515.0
96.0,51.0,23282.0,10253.0,7486.0,11642.0,6390.0,3174.0,6282.0,2095.0
81.0,51.0,57873.0,13733.0,6661.0,2549.0,2149.0,1042.0,1118.0,1776.0
80.0,61.0,39782.0,12141.0,2489.0,10338.0,9541.0,2984.0,6034.0,2522.0
83.0,64.0,105398.0,13774.0,2966.0,1888.0,1544.0,1651.0,2498.0,2891.0
81.0,56.0,52025.0,86348.0,15311.0,28038.0,15827.0,12590.0,8276.0,2743.0
87.0,47.0,534598.0,238178.0,16164.0,24557.0,14789.0,22607.0,10605.0,4328.0
78.0,43.0,357473.0,127558.0,15660.0,32852.0,18962.0,6911.0,5401.0,3883.0
80.0,53.0,31672.0,15846.0,3393.0,19269.0,5278.0,3861.0,1745.0,1993.0
75.0,50.0,11537.0,86462.0,7343.0,14196.0,6731.0,5040.0,3373.0,1675.0
83.0,63.0,19286.0,6328.0,5165.0,6619.0,2276.0,4653.0,5056.0,1249.0
91.0,74.0,19168.0,12328.0,9547.0,11849.0,3909.0,4446.0,3267.0,1317.0
97.0,67.0,17912.0,16634.0,3211.0,10591.0,3837.0,8048.0,1862.0,910.0
100.0,78.0,22425.0,10355.0,4161.0,14070.0,3699.0,5757.0,1689.0,2364.0
94.0,64.0,184095.0,53970.0,7879.0,1580.0,2761.0,3165.0,588.0,612.0
97.0,57.0,27976.0,15557.0,9934.0,3949.0,10133.0,5201.0,4374.0,1835.0
94.0,54.0,14288.0,20021.0,5291.0,5351.0,7644.0,5334.0,3149.0,1517.0
97.0,40.0,18572.0,33930.0,2862.0,3928.0,5774.0,11321.0,4600.0,2535.0
96.0,37.0,110385.0,49897.0,2142.0,3824.0,4070.0,1871.0,861.0,339.0
97.0,30.0,33823.0,29699.0,3933.0,4690.0,3996.0,9596.0,4503.0,4284.0
97.0,43.0,13927.0,5672.0,17022.0,3290.0,4955.0,4345.0,2489.0,2280.0
91.0,47.0,126404.0,4971.0,1209.0,298.0,951.0,905.0,124.0,97.0
100.0,63.0,7594.0,7107.0,5827.0,9739.0,5261.0,5940.0,2257.0,1824.0
93.0,66.0,55479.0,17824.0,2783.0,3715.0,2456.0,1042.0,1031.0,717.0
93.0,53.0,28473.0,30426.0,4455.0,4030.0,3266.0,6429.0,4408.0,1430.0
84.0,51.0,42772.0,66123.0,11471.0,3330.0,3666.0,4368.0,1824.0,2121.0
83.0,37.0,33631.0,24032.0,2760.0,1959.0,10861.0,5609.0,4323.0,6303.0
90.0,38.0,65974.0,10492.0,2605.0,3806.0,2750.0,1834.0,1087.0,598.0
81.0,40.0,89635.0,23523.0,4702.0,2488.0,4507.0,1756.0,540.0,206.0
93.0,44.0,4960.0,15582.0,4657.0,5550.0,5395.0,5720.0,4574.0,2958.0
100.0,53.0,32217.0,12067.0,2207.0,6707.0,3591.0,8368.0,4627.0,1792.0
90.0,57.0,56215.0,40193.0,29378.0,18814.0,10345.0,2542.0,2087.0,718.0
87.0,69.0,1268816.0,85521.0,78222.0,29738.0,11766.0,7574.0,6635.0,2929.0
80.0,74.0,43602.0,23951.0,4471.0,13377.0,9641.0,3899.0,6317.0,1415.0
70.0,70.0,1404010.0,86288.0,30959.0,8205.0,10849.0,22382.0,9741.0,7517.0
77.0,54.0,396030.0,76785.0,5960.0,3303.0,4273.0,4078.0,2632.0,488.0
87.0,51.0,61009.0,15047.0,11924.0,7336.0,7616.0,5477.0,6037.0,2358.0
80.0,48.0,81658.0,13206.0,4385.0,148.0,1202.0,657.0,427.0,166.0
75.0,41.0,6939.0,50007.0,4360.0,3744.0,2437.0,5318.0,1906.0,3392.0
83.0,47.0,28392.0,28813.0,2436.0,4968.0,2116.0,5283.0,3648.0,1975.0
80.0,50.0,54652.0,15917.0,15218.0,9427.0,6390.0,3448.0,5124.0,1344.0
87.0,54.0,54300.0,19637.0,10834.0,4091.0,2260.0,3112.0,2799.0,3193.0
81.0,63.0,112985.0,19410.0,8013.0,3122.0,1612.0,1529.0,1044.0,999.0
60.0,67.0,1500824.0,228218.0,26925.0,76174.0,47824.0,3193.0,5198.0,4154.0
54.0,61.0,171298.0,65149.0,31773.0,3708.0,12492.0,5594.0,818.0,885.0
54.0,54.0,107546.0,21128.0,3862.0,2329.0,2567.0,2368.0,353.0,342.0
67.0,43.0,131940.0,25345.0,1734.0,2687.0,12989.0,7932.0,2902.0,2718.0
91.0,41.0,27164.0,28130.0,7450.0,5992.0,9391.0,6872.0,5141.0,504.0
88.0,40.0,99295.0,71469.0,13403.0,12754.0,9329.0,3039.0,1331.0,808.0
78.0,50.0,79992.0,20643.0,15204.0,9152.0,3935.0,1047.0,1409.0,705.0
64.0,50.0,193449.0,22293.0,1970.0,804.0,1577.0,1298.0,1118.0,320.0
