attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,107.4507122951685,73.1355749362007
0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,109.71532807151038,100.19469050024892
0.0,0.0,1816650.0,299917.0,157410.0,94035.0,32313.0,57263.0,25928.94647876021,17300.33308757123
0.0,0.0,9081.0,6153.0,7174.0,6212.0,4508.0,25586.0,11166.817371144574,9016.544644862608
0.0,0.0,30461.0,37085.0,633.0,3922.0,10385.0,16475.0,7490.546309720423,5812.35237532414
0.0,0.0,254317.0,15074.0,1090.0,549.0,1585.0,1110.0,619.7045724880351,393.3871206452545
53.0,40.0,11186.0,10828.0,3799.0,2004.0,4505.0,24442.0,5433.343043190144,2347.9690232552593
48.0,63.0,199069.0,10887.0,9515.0,11683.0,1921.0,3466.0,1132.6858959042688,703.7148055990128
38.0,66.0,1307857.0,426047.0,63086.0,45712.0,38800.0,28956.0,13948.125369512569,10377.33032554913
41.0,53.0,168709.0,79033.0,1980.0,2969.0,9707.0,25224.0,6202.965056871761,3115.609668539947
29.0,50.0,1310337.0,77459.0,6071.0,8594.0,15380.0,22495.0,10682.507902245741,7140.095535599807
37.0,29.0,79094.0,12474.0,3269.0,1294.0,4443.0,4840.0,2304.1552816955086,1153.3109490178795
44.0,44.0,174988.0,25093.0,18889.0,27921.0,13391.0,13001.0,6041.316737006663,4322.738305586351
60.0,61.0,15901.0,5069.0,1866.0,5062.0,992.0,26858.0,4200.874516595739,3161.568593985556
70.0,70.0,18105.0,5734.0,2559.0,5503.0,4206.0,17002.0,3849.9866362823327,2537.768259994865
74.0,69.0,87477.0,56223.0,8166.0,8284.0,11256.0,23207.0,6750.891874193988,6476.258476172537
90.0,54.0,699.0,3535.0,2118.0,4889.0,7183.0,19807.0,5473.994955888494,3021.209868536963
64.0,56.0,192058.0,9963.0,1110.0,1156.0,435.0,813.0,484.2898667411527,256.228997520932
47.0,66.0,375166.0,20596.0,14814.0,10742.0,6750.0,5046.0,2953.521534506193,1257.1551665573081
29.0,75.0,814549.0,139040.0,52809.0,28305.0,41177.0,7641.0,7699.423670976238,5601.797097992137
4.0,78.0,1368554.0,414679.0,69992.0,67644.0,24567.0,26908.0,14034.190016240853,10160.635114305325
4.0,88.0,467253.0,158142.0,74418.0,31842.0,11873.0,21748.0,7289.072492997195,4795.08341198968
1.0,80.0,931038.0,150116.0,40527.0,19975.0,5245.0,8696.0,2443.7328757921587,1464.3380390041286
8.0,66.0,358305.0,180028.0,8933.0,21540.0,28151.0,26555.0,12657.22492343366,10733.290176837485
21.0,43.0,226024.0,165664.0,6095.0,1783.0,8880.0,51214.0,11346.2513559409,5141.830403687855
16.0,20.0,1387533.0,685005.0,20544.0,27233.0,11805.0,28352.0,8792.144736838367,5680.503435485171
20.0,14.0,2940822.0,460355.0,81745.0,34316.0,69599.0,35165.0,21984.728874687014,17271.96544397468
16.0,30.0,984294.0,54151.0,21691.0,27065.0,4976.0,7939.0,3385.953182461488,2811.6251513548864
8.0,53.0,32397.0,112126.0,28757.0,12529.0,40072.0,13934.0,10659.511698696382,7000.210777799985
3.0,69.0,385908.0,89425.0,23976.0,2179.0,2669.0,2563.0,1367.4305308134133,1143.9599983112605
7.0,69.0,544310.0,193613.0,44717.0,1669.0,7822.0,21312.0,5507.951072826069,3712.4016726209115
7.0,53.0,268616.0,95733.0,8784.0,7284.0,8117.0,9383.0,3543.376974464918,1886.958340939662
13.0,66.0,349504.0,21107.0,30967.0,2417.0,6338.0,13531.0,4765.685360085914,4240.857606909286
20.0,64.0,511627.0,50703.0,10800.0,4135.0,6977.0,3853.0,2523.742086521814,2121.1916099119717
16.0,67.0,97904.0,16852.0,2340.0,3840.0,4818.0,1101.0,1284.2290385867664,782.9729138985546
24.0,63.0,341780.0,13394.0,768.0,1443.0,6298.0,4222.0,2663.143636795303,2437.6422670766397
23.0,53.0,872736.0,41470.0,11280.0,10636.0,4640.0,13525.0,3633.1204653461687,3339.019769909986
34.0,63.0,848752.0,52349.0,26823.0,19372.0,11170.0,25911.0,4732.5611310126105,3857.351330105162
35.0,66.0,680061.0,146968.0,39304.0,32173.0,20049.0,12113.0,7743.504251323817,5096.30191939534
20.0,69.0,1456749.0,223828.0,7803.0,21211.0,16349.0,10169.0,6407.4960982138955,2702.299659616624
13.0,64.0,1716490.0,162861.0,46776.0,5534.0,21519.0,18373.0,9492.264997583,7119.158501094193
10.0,57.0,901059.0,76691.0,17442.0,11684.0,12150.0,14763.0,7900.5700338961715,4957.150801893815
23.0,64.0,288939.0,7071.0,6420.0,5727.0,2280.0,6883.0,1608.4639326876247,1012.9366178204594
30.0,78.0,299500.0,81917.0,8543.0,49307.0,34806.0,16686.0,13610.192571381109,10153.54602744007
29.0,69.0,739190.0,294417.0,26432.0,14477.0,24875.0,23974.0,11200.345247308855,8645.06981682594
21.0,60.0,79904.0,57056.0,1129.0,6456.0,2870.0,2630.0,1382.8475049642068,1155.5216166445725
11.0,53.0,1321769.0,62358.0,15429.0,14232.0,8308.0,8230.0,3695.6149235645316,2417.402609855626
3.0,48.0,399655.0,444731.0,69094.0,72959.0,58569.0,20530.0,16821.589410104938,8328.501929649323
14.0,53.0,1115835.0,44619.0,2453.0,10147.0,14182.0,18638.0,8104.057351678231,5969.025111853292
23.0,54.0,1551895.0,186724.0,17516.0,17728.0,21386.0,28057.0,11702.619245840066,7807.493725827303
21.0,50.0,622580.0,177706.0,34926.0,12131.0,5962.0,14935.0,3408.314235152744,2185.1031627924976
23.0,64.0,690828.0,17695.0,15654.0,10501.0,3287.0,2495.0,1333.6266491822523,783.7472859501804
8.0,67.0,396992.0,192714.0,19543.0,21524.0,10979.0,9204.0,4837.076009090739,3659.5726651965397
4.0,84.0,801611.0,49904.0,39323.0,10372.0,4032.0,7948.0,3339.974456281724,2419.6140803660687
10.0,94.0,315288.0,52750.0,33899.0,6917.0,8300.0,11404.0,4793.912437512999,3305.7744980472125
16.0,67.0,68651.0,19392.0,1373.0,750.0,2938.0,3466.0,1102.6037606711034,767.7298306405343
29.0,70.0,68521.0,31817.0,5870.0,9063.0,4415.0,11119.0,3242.1288531342266,3387.5509627140977
37.0,64.0,96700.0,11777.0,567.0,7104.0,3012.0,4357.0,1658.4743343592556,1230.9472279511147
47.0,63.0,9799.0,6296.0,6539.0,3921.0,7726.0,7625.0,3812.744030037607,2045.0989914905335
57.0,83.0,3375.0,5622.0,8509.0,5927.0,4182.0,18353.0,4961.271048776211,3995.1658361395816
50.0,69.0,346996.0,214731.0,5319.0,18201.0,19655.0,15935.0,9745.161220999826,5580.915024393759
44.0,75.0,74186.0,9832.0,1640.0,5543.0,1226.0,2152.0,1394.76598267375,702.6006033495446
40.0,75.0,79061.0,66014.0,45102.0,13722.0,16994.0,29095.0,11219.913756974867,11294.680879291978
23.0,57.0,702951.0,101094.0,5304.0,11812.0,19718.0,11096.0,6191.863544367938,3843.4031236515525
50.0,63.0,4473.0,3823.0,1018.0,1904.0,549.0,17000.0,3432.908369205627,2161.06184830499
44.0,56.0,120052.0,189709.0,51163.0,16980.0,7920.0,15938.0,3961.8584856652315,2811.3300924609407
43.0,40.0,450693.0,46082.0,4037.0,3660.0,6067.0,10164.0,3066.7494405712227,2350.0591134391448
60.0,54.0,50731.0,10052.0,14340.0,2963.0,4479.0,24370.0,4506.427159376689,4132.352321286956
38.0,69.0,172284.0,20905.0,10611.0,7143.0,5952.0,5044.0,2385.9594598259628,1562.5920209050184
44.0,84.0,9175.0,26681.0,28183.0,58710.0,15061.0,17301.0,8826.429978565775,4657.521706699308
41.0,100.0,3073202.0,73928.0,45314.0,7260.0,16790.0,14746.0,8047.307157865362,7105.77210451019
20.0,96.0,359892.0,293534.0,47433.0,66423.0,63054.0,15821.0,12580.329945734928,9131.416642343122
21.0,100.0,336543.0,14455.0,15821.0,9174.0,5232.0,6063.0,2847.4871670085417,2304.9133001023306
16.0,77.0,37053.0,19008.0,274.0,2222.0,1148.0,1721.0,545.9715136444316,281.2496221464631
13.0,78.0,706443.0,13539.0,9438.0,2196.0,3326.0,2234.0,1439.9501150087208,1067.8351165190181
20.0,77.0,218456.0,101047.0,18549.0,10425.0,8628.0,13156.0,5180.814135052054,3877.853623851994
20.0,50.0,250605.0,41359.0,2401.0,2341.0,5512.0,6617.0,2623.7206654592064,1921.9161013033324
29.0,64.0,8776.0,12158.0,7353.0,12420.0,12255.0,12551.0,6443.22209969282,3865.8739916845584
35.0,60.0,100194.0,10427.0,3373.0,1516.0,1076.0,2620.0,1381.4875510994475,1058.6844851853145
53.0,48.0,3977.0,11294.0,1998.0,1763.0,14670.0,19012.0,6559.183932043574,5194.332575669175
64.0,69.0,25596.0,3275.0,4817.0,3161.0,2530.0,7439.0,2096.372304151102,1698.4637439090902
53.0,66.0,614449.0,83394.0,31719.0,4227.0,7163.0,8286.0,4401.651323724822,2575.4258887971246
41.0,74.0,1030422.0,129628.0,20857.0,4468.0,5427.0,9820.0,3859.7906740605017,2924.9081879530872
20.0,44.0,932286.0,917079.0,32727.0,11165.0,9718.0,33041.0,9387.999002621891,9064.591989942288
29.0,40.0,104480.0,11963.0,2504.0,1711.0,2824.0,3937.0,1520.8316651355901,904.0993499671331
23.0,41.0,254588.0,48802.0,2214.0,34047.0,24836.0,22086.0,10046.178882602697,5884.9165698377055
