attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,133.0,55.0,4.0,6.0,5.0,3.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,831472.0,160592.0,118071.0,65280.0,27582.0,10392.0,15347.0,16048.0
0.0,0.0,28966.0,10120.0,2134.0,5043.0,22511.0,9562.0,4083.0,990.0
0.0,0.0,41274.0,13254.0,10338.0,5058.0,2914.0,6509.0,3555.0,1063.0
0.0,0.0,14187.0,20608.0,12172.0,11536.0,2078.0,11219.0,5189.0,1389.0
51.0,34.0,13454.0,9962.0,2674.0,2737.0,5336.0,10574.0,7790.0,2811.0
38.0,47.0,9516.0,13080.0,3692.0,10282.0,1813.0,4690.0,2511.0,699.0
37.0,54.0,14660.0,23233.0,5330.0,16598.0,7531.0,14033.0,3538.0,1890.0
27.0,57.0,10258.0,20038.0,2040.0,11381.0,7857.0,7758.0,5658.0,3288.0
24.0,63.0,21973.0,7037.0,1598.0,4712.0,7314.0,7437.0,2090.0,1689.0
41.0,74.0,11624.0,3863.0,8552.0,19727.0,1853.0,13374.0,3409.0,1472.0
63.0,69.0,8120.0,6406.0,2793.0,4594.0,1941.0,11430.0,2677.0,3995.0
51.0,70.0,47386.0,38299.0,14168.0,7226.0,3751.0,6485.0,2082.0,2919.0
43.0,54.0,21309.0,32653.0,278.0,3267.0,2723.0,10352.0,2099.0,2607.0
51.0,35.0,31291.0,8211.0,4997.0,1608.0,880.0,8032.0,6816.0,3256.0
26.0,35.0,85693.0,6726.0,2422.0,1661.0,2233.0,1928.0,592.0,405.0
47.0,34.0,18603.0,12550.0,5505.0,2769.0,4841.0,6900.0,2574.0,1451.0
38.0,53.0,45077.0,18889.0,1573.0,7191.0,5484.0,4912.0,3228.0,2049.0
7.0,47.0,34341.0,26793.0,5699.0,2394.0,3475.0,2977.0,1405.0,417.0
8.0,44.0,97556.0,6973.0,218.0,3329.0,1739.0,1828.0,1834.0,630.0
