attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,287.0,136.0,25.0,16.0,11.0,10.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,218255.0,35724.0,4055.0,13265.0,17212.0,5135.0,3853.0,3396.0
0.0,0.0,1851863.0,20688.0,5140.0,10299.0,9135.0,2532.0,4135.0,2351.0
0.0,0.0,32639.0,6094.0,1679.0,1971.0,3637.0,441.0,261.0,306.0
0.0,0.0,74829.0,14146.0,942.0,1546.0,3803.0,420.0,474.0,345.0
51.0,30.0,74424.0,2089.0,252.0,880.0,6346.0,760.0,152.0,660.0
54.0,38.0,42377.0,7267.0,1490.0,1348.0,894.0,705.0,143.0,224.0
56.0,48.0,288146.0,22973.0,6686.0,5728.0,4885.0,2311.0,2587.0,643.0
47.0,50.0,550127.0,149706.0,23792.0,18927.0,11935.0,3829.0,4281.0,832.0
38.0,66.0,27118.0,2534.0,2191.0,528.0,3891.0,503.0,238.0,133.0
38.0,78.0,1585645.0,72525.0,25074.0,48493.0,14291.0,12272.0,6025.0,8049.0
38.0,91.0,55366.0,27325.0,33188.0,5288.0,4281.0,4937.0,1781.0,1340.0
53.0,88.0,92200.0,18065.0,2329.0,2025.0,2289.0,2006.0,2759.0,1522.0
50.0,83.0,2091329.0,31672.0,9477.0,4707.0,22658.0,2826.0,3323.0,2218.0
38.0,47.0,533563.0,444039.0,14920.0,13589.0,19468.0,12522.0,6190.0,3822.0
44.0,40.0,1019634.0,12445.0,14648.0,1197.0,6919.0,3401.0,892.0,557.0
37.0,35.0,60920.0,25903.0,4019.0,1229.0,6281.0,1509.0,2068.0,467.0
50.0,43.0,86827.0,7918.0,3824.0,3657.0,4883.0,3806.0,3365.0,1318.0
66.0,75.0,863068.0,46894.0,20228.0,22964.0,13188.0,15154.0,12638.0,5530.0
78.0,56.0,26469.0,15356.0,833.0,6503.0,10554.0,9627.0,4865.0,3206.0
90.0,80.0,89734.0,5964.0,1620.0,5551.0,2176.0,1912.0,1381.0,457.0
87.0,74.0,680889.0,10875.0,1420.0,3338.0,6878.0,2589.0,1187.0,679.0
67.0,64.0,1970707.0,120648.0,26235.0,16523.0,15505.0,4068.0,5115.0,1138.0
70.0,80.0,43620.0,9521.0,6263.0,13620.0,5327.0,16287.0,5786.0,8920.0
54.0,60.0,264605.0,136342.0,18068.0,10662.0,13832.0,4805.0,9512.0,2311.0
54.0,61.0,29727.0,27936.0,10826.0,2109.0,6652.0,6414.0,3725.0,1828.0
69.0,48.0,992701.0,194340.0,21779.0,5943.0,17221.0,28597.0,18725.0,7714.0
54.0,27.0,226935.0,6379.0,180.0,919.0,322.0,786.0,965.0,303.0
75.0,47.0,328629.0,19127.0,12798.0,12155.0,3985.0,11840.0,3540.0,2621.0
75.0,60.0,126961.0,33531.0,11477.0,21661.0,6996.0,10560.0,14842.0,5141.0
67.0,67.0,1594914.0,163162.0,9515.0,30539.0,11636.0,12381.0,6285.0,846.0
83.0,80.0,111144.0,23065.0,7388.0,14159.0,15042.0,22087.0,4835.0,1874.0
74.0,64.0,157833.0,67065.0,14525.0,2275.0,2764.0,7384.0,2285.0,534.0
61.0,60.0,545365.0,69031.0,8380.0,37398.0,15610.0,5702.0,3827.0,2855.0
75.0,61.0,154716.0,33511.0,8462.0,6849.0,18220.0,11256.0,8766.0,1810.0
54.0,60.0,1266798.0,185454.0,46417.0,19295.0,17269.0,15608.0,7249.0,3463.0
54.0,61.0,600895.0,101475.0,23441.0,5821.0,7094.0,11182.0,18528.0,3275.0
54.0,48.0,18122.0,11529.0,1737.0,625.0,974.0,756.0,1172.0,117.0
41.0,56.0,699884.0,149210.0,43960.0,26232.0,18903.0,11546.0,11419.0,5173.0
40.0,66.0,243793.0,27117.0,14522.0,9385.0,5618.0,2621.0,2407.0,2008.0
35.0,61.0,62898.0,106396.0,8279.0,13913.0,5733.0,5769.0,3122.0,1515.0
38.0,70.0,420789.0,38796.0,19169.0,4914.0,9946.0,5041.0,3985.0,1342.0
35.0,48.0,2748587.0,1017251.0,56691.0,39418.0,48319.0,42908.0,24387.0,4563.0
34.0,27.0,649030.0,96637.0,11583.0,5754.0,14217.0,5032.0,11378.0,4725.0
24.0,41.0,1908610.0,203071.0,44518.0,56976.0,17677.0,5796.0,4823.0,2781.0
23.0,41.0,1542005.0,74612.0,28971.0,9544.0,16030.0,7247.0,6971.0,4125.0
27.0,67.0,509638.0,99645.0,13702.0,54246.0,19905.0,11235.0,23096.0,2753.0
37.0,93.0,117104.0,21102.0,17863.0,9014.0,5215.0,4991.0,2660.0,2082.0
43.0,84.0,256069.0,10639.0,2274.0,1478.0,2300.0,563.0,805.0,401.0
37.0,70.0,479553.0,648890.0,103592.0,4791.0,7412.0,24743.0,7765.0,4243.0
38.0,66.0,208053.0,19958.0,2267.0,7223.0,2505.0,2253.0,1460.0,1322.0
35.0,57.0,618996.0,207246.0,101624.0,26560.0,52085.0,22625.0,29179.0,6374.0
38.0,51.0,1386434.0,173333.0,8255.0,22356.0,11743.0,10283.0,4528.0,2512.0
50.0,64.0,822696.0,40808.0,12345.0,19285.0,17108.0,8424.0,3870.0,7353.0
54.0,47.0,137196.0,7374.0,655.0,386.0,1868.0,1039.0,248.0,223.0
51.0,47.0,203253.0,34543.0,7938.0,7601.0,2931.0,2676.0,1347.0,291.0
47.0,41.0,83756.0,33895.0,1464.0,2628.0,1414.0,1159.0,423.0,174.0
41.0,35.0,339608.0,61952.0,6486.0,15288.0,2660.0,6645.0,1095.0,922.0
37.0,53.0,1438385.0,105482.0,18895.0,37739.0,23239.0,10782.0,5525.0,5903.0
35.0,64.0,1571153.0,123315.0,47674.0,81814.0,4480.0,10946.0,11817.0,4055.0
43.0,77.0,189393.0,39329.0,4461.0,8190.0,4001.0,4148.0,1181.0,625.0
43.0,81.0,611780.0,238053.0,102478.0,16710.0,15065.0,26226.0,4132.0,7858.0
51.0,81.0,1340281.0,21225.0,5751.0,9157.0,13031.0,5293.0,3180.0,2320.0
56.0,83.0,416981.0,10328.0,6922.0,12760.0,7093.0,2373.0,1459.0,1061.0
44.0,78.0,150185.0,73551.0,8690.0,5803.0,3213.0,1859.0,641.0,789.0
35.0,51.0,169564.0,84216.0,2373.0,4222.0,3951.0,2639.0,956.0,981.0
14.0,14.0,276524.0,67343.0,4397.0,11014.0,5637.0,4570.0,4285.0,459.0
14.0,1.0,498314.0,268248.0,7594.0,10392.0,21434.0,6511.0,5021.0,2294.0
29.0,24.0,196308.0,27764.0,3475.0,13016.0,8405.0,5272.0,3666.0,2475.0
35.0,48.0,83133.0,8206.0,5048.0,2382.0,749.0,748.0,1223.0,483.0
38.0,60.0,3163744.0,136235.0,33156.0,35431.0,11544.0,15948.0,23373.0,5833.0
44.0,96.0,193950.0,16573.0,6881.0,7061.0,407.0,1359.0,741.0,365.0
50.0,93.0,94520.0,48232.0,22328.0,4906.0,10439.0,15528.0,7530.0,3838.0
54.0,56.0,815920.0,241957.0,9951.0,6280.0,10151.0,20414.0,5764.0,3630.0
48.0,53.0,225791.0,55962.0,19291.0,9051.0,19467.0,3336.0,1791.0,824.0
38.0,16.0,865400.0,727062.0,12778.0,14442.0,17964.0,11727.0,17378.0,6665.0
20.0,8.0,287650.0,64593.0,2600.0,8864.0,15787.0,2160.0,1134.0,931.0
20.0,43.0,1658297.0,40675.0,22850.0,21185.0,23345.0,6738.0,9336.0,722.0
17.0,53.0,526892.0,19121.0,13378.0,2533.0,5897.0,1052.0,2012.0,341.0
23.0,63.0,171352.0,52039.0,1478.0,3150.0,5882.0,1733.0,1312.0,552.0
27.0,81.0,117337.0,29054.0,23959.0,2429.0,9076.0,2732.0,1550.0,479.0
27.0,67.0,700682.0,77501.0,8285.0,11242.0,12791.0,6187.0,2390.0,3734.0
40.0,53.0,975354.0,89131.0,9340.0,10677.0,8131.0,13459.0,9066.0,5593.0
54.0,63.0,784787.0,99021.0,13737.0,9676.0,6989.0,17599.0,7646.0,4237.0
66.0,48.0,422918.0,92941.0,22073.0,6824.0,25920.0,20253.0,7631.0,2394.0
81.0,53.0,94867.0,6343.0,1639.0,2438.0,3335.0,3971.0,1265.0,1472.0
81.0,50.0,426368.0,144926.0,15205.0,9049.0,12767.0,18533.0,10135.0,2842.0
69.0,64.0,41550.0,15958.0,9591.0,1460.0,1158.0,1199.0,777.0,604.0
63.0,66.0,88550.0,34384.0,4294.0,5731.0,4094.0,3477.0,1025.0,1373.0
50.0,77.0,214297.0,84600.0,45782.0,38021.0,28310.0,14518.0,9197.0,3092.0
40.0,88.0,233125.0,35291.0,5394.0,8706.0,2557.0,1934.0,2197.0,1275.0
29.0,80.0,179276.0,492037.0,116154.0,51138.0,18331.0,9598.0,7946.0,2534.0
35.0,81.0,71128.0,12354.0,945.0,3304.0,3202.0,2652.0,1667.0,362.0
35.0,78.0,640084.0,61463.0,18286.0,25505.0,17614.0,8346.0,9216.0,3352.0
41.0,84.0,345629.0,210485.0,121203.0,43051.0,7720.0,29889.0,23358.0,7892.0
43.0,75.0,2917262.0,983154.0,95846.0,59154.0,18219.0,18035.0,35815.0,8075.0
41.0,81.0,1777775.0,114586.0,43371.0,28899.0,26684.0,24786.0,12265.0,12861.0
34.0,88.0,1009760.0,47853.0,18322.0,25858.0,4021.0,3122.0,3941.0,2439.0
27.0,77.0,995612.0,425797.0,105608.0,24469.0,17794.0,27771.0,15344.0,6539.0
35.0,91.0,537408.0,89793.0,24615.0,22072.0,7499.0,4927.0,3145.0,1880.0
21.0,100.0,1464019.0,303687.0,232338.0,107060.0,44493.0,17974.0,34344.0,9005.0
11.0,90.0,121685.0,25969.0,2155.0,6864.0,1676.0,472.0,1136.0,379.0
1.0,84.0,599328.0,238661.0,33806.0,13043.0,5067.0,3439.0,2585.0,557.0
1.0,67.0,961667.0,142645.0,8819.0,10252.0,9885.0,3164.0,3052.0,1233.0
1.0,60.0,786129.0,125931.0,68351.0,4105.0,7948.0,2722.0,2983.0,1064.0
1.0,75.0,86047.0,16697.0,21533.0,1403.0,3259.0,589.0,791.0,494.0
1.0,81.0,2279346.0,734753.0,84475.0,160310.0,80892.0,29959.0,12191.0,10115.0
3.0,90.0,577071.0,625026.0,119050.0,53037.0,78031.0,28142.0,10734.0,4191.0
7.0,67.0,798563.0,288275.0,10055.0,19543.0,8981.0,6277.0,15005.0,8824.0
14.0,50.0,1108375.0,552369.0,117009.0,34137.0,23624.0,26452.0,41678.0,13514.0
17.0,47.0,113047.0,71466.0,4938.0,12636.0,3920.0,4039.0,4747.0,4602.0
30.0,63.0,2200003.0,180060.0,183377.0,43359.0,38083.0,50076.0,35478.0,8601.0
40.0,87.0,2010285.0,230263.0,136033.0,50858.0,57249.0,23141.0,10973.0,18631.0
53.0,74.0,953567.0,404722.0,4174.0,48776.0,54793.0,62417.0,37045.0,8297.0
57.0,69.0,293276.0,55743.0,6613.0,5182.0,7646.0,5150.0,5072.0,749.0
53.0,53.0,1146502.0,125390.0,6496.0,24713.0,8611.0,12176.0,10400.0,3913.0
53.0,47.0,490384.0,347980.0,51992.0,85908.0,37705.0,29017.0,10666.0,13015.0
51.0,63.0,172737.0,130488.0,33456.0,20193.0,19186.0,21711.0,9810.0,4395.0
54.0,44.0,644453.0,283086.0,6372.0,7500.0,14642.0,34920.0,24769.0,5550.0
54.0,47.0,101741.0,50453.0,10171.0,9205.0,13797.0,5555.0,1422.0,550.0
60.0,60.0,1006381.0,70150.0,100763.0,32823.0,14482.0,23077.0,30331.0,9664.0
