attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,327.0,99.0,28.0,14.0,16.0,10.0,6.876845586890784,4.6806767959168445
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.71532807151038,100.19469050024892
0.0,0.0,495724.0,59916.0,60699.0,16855.0,36464.0,29955.0,17341.734209414622,11570.766223948296
0.0,0.0,1280165.0,329057.0,39020.0,11555.0,41598.0,11515.0,19708.352862151984,15913.329425220567
0.0,0.0,753660.0,117832.0,38765.0,16027.0,18184.0,9587.0,6761.38466596953,5246.553268448456
0.0,0.0,903583.0,131674.0,21114.0,25680.0,44305.0,22006.0,16490.096747196632,10467.87770581862
38.0,51.0,233161.0,33626.0,46878.0,9379.0,7090.0,4134.0,2754.6776165415245,1190.4084946008772
24.0,44.0,422355.0,36255.0,4437.0,1370.0,1274.0,841.0,424.0391130866379,263.44691243278385
17.0,37.0,597673.0,216279.0,9428.0,23586.0,9786.0,8437.0,3806.416512390451,2831.9534316804584
27.0,37.0,975091.0,41903.0,13050.0,4189.0,12650.0,6860.0,3963.097831226303,1990.5747988471435
35.0,26.0,1260934.0,226043.0,60392.0,55884.0,16514.0,26470.0,11893.999263473906,7949.8458431941945
51.0,26.0,1387578.0,397113.0,54602.0,18306.0,42721.0,29161.0,17467.659721934888,8743.179494483538
75.0,27.0,19187.0,45073.0,3570.0,7891.0,4541.0,9202.0,2926.2527501155096,2093.8191797272366
57.0,23.0,1521637.0,258643.0,22691.0,29409.0,37334.0,11317.0,8846.65701375265,6657.973920893954
54.0,29.0,1111621.0,76881.0,66133.0,27663.0,16054.0,10922.0,5902.912484453112,3890.9807642963433
69.0,38.0,163283.0,33484.0,3751.0,12808.0,6097.0,7684.0,2989.9191700366214,2868.286106320181
38.0,34.0,2267054.0,253574.0,21553.0,7553.0,25165.0,5722.0,6336.794602041416,3497.4066547110765
48.0,40.0,75069.0,113080.0,31442.0,17219.0,20157.0,12077.0,8598.925504454079,4549.535749301726
53.0,26.0,146894.0,107556.0,11445.0,16505.0,9428.0,12780.0,5380.239940363122,2290.078592393381
24.0,7.0,204408.0,363106.0,4445.0,10959.0,8919.0,8660.0,3508.8231556405285,2552.881385749553
47.0,17.0,282956.0,102350.0,36144.0,15839.0,23258.0,12458.0,9318.249420937223,6746.33392883122
