attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma
0.0,0.0,298.0,117.0,17.0,20.0,10.0,5.0,2.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,119691.0,24491.0,13258.0,6521.0,3233.0,1478.0,472.0,1697.0
0.0,0.0,294899.0,89341.0,35817.0,1481.0,7310.0,3295.0,439.0,547.0
0.0,0.0,82704.0,57210.0,45099.0,1301.0,21468.0,7445.0,1132.0,495.0
0.0,0.0,437314.0,13008.0,21275.0,2293.0,5437.0,7333.0,6531.0,1158.0
0.0,0.0,61123.0,13571.0,1018.0,1302.0,3130.0,8868.0,361.0,158.0
0.0,0.0,1037595.0,18832.0,7552.0,7978.0,6431.0,19129.0,4505.0,643.0
0.0,0.0,547381.0,5101.0,1301.0,2305.0,15924.0,37024.0,1881.0,1563.0
0.0,0.0,1551531.0,259932.0,26888.0,69569.0,25822.0,15302.0,14709.0,5380.0
0.0,0.0,1445278.0,27773.0,5860.0,5016.0,51855.0,11842.0,7715.0,5564.0
0.0,0.0,832095.0,33690.0,3754.0,7072.0,29696.0,9420.0,4768.0,10187.0
0.0,0.0,14561.0,5701.0,1388.0,869.0,673.0,495.0,199.0,112.0
0.0,0.0,277401.0,428832.0,373028.0,441863.0,414290.0,404318.0,312250.0,72471.0
0.0,0.0,9128.0,3973.0,1162.0,784.0,458.0,313.0,141.0,65.0
0.0,0.0,43.0,12.0,18.0,14.0,8.0,9.0,7.0,7.0
0.0,0.0,13.0,8.0,5.0,1.0,7.0,6.0,3.0,7.0
0.0,0.0,1686485.0,87240.0,83596.0,32650.0,67069.0,46509.0,11274.0,9897.0
0.0,0.0,879808.0,83955.0,25366.0,95098.0,69736.0,196253.0,183925.0,59209.0
0.0,0.0,2448539.0,190475.0,34913.0,37165.0,95819.0,70724.0,68601.0,93212.0
0.0,0.0,376699.0,26315.0,11744.0,27512.0,18721.0,8670.0,6908.0,4492.0
0.0,0.0,23.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0
0.0,0.0,92433.0,4638.0,3432.0,1707.0,309.0,767.0,117.0,118.0
